site id, 700013715, 700014724, 700015250c, 700015415, 700023113, 700023720c, 700024086c, 700024233, 700024234, 700024789, 700033665, 700035861, 700037539c, 700095486, 700096380, 700097837c, 700098561, 700099059, 700099803, 700100540c, 700101366, 700102299, 700105153, 700105580c, 700105613, 700106170, 700110812, 700114218, 700117184, 700119562, 700122108c, 700122408, 700161945, 700171115c, 700171441, 700172726c, 700173627
average pi, 0.0041375616721308845, 0.003820791246577016, 0.0021967951660622634, 0.01044425589853294, 0.004539605926271679, 0.00237713409873122, 0.001301404950882456, 0.0043794649953242575, 0.011905097653579668, 0.00448840016119465, 0.0011840086360049486, 0.005392787708388635, 0.0011208508554695561, 0.0020117878751793783, 0.010633653523540126, 0.003163479517720986, 0.004583286785448685, 0.0010139564365105641, 0.007673108940692868, 0.004972179540264035, 0.0008922340764106902, 0.009007373562102782, 0.005397246526082339, 0.0016845895315112137, 0.006102180237023806, 0.008323600198837629, 0.00205739529477435, 0.005268729627794554, 0.002964639117958772, 0.009721463536361037, 0.0035400069643757586, 0.0023824819415337833, 0.0008435511304191714, 0.0020138321657673978, 0.010130809673429143, 0.009926474817854754, 0.004168569615622816
num_sites, 59094, 163370, 1432037, 34251, 76479, 2110625, 2166445, 18534, 24876, 1434481, 534728, 27651, 1250218, 348731, 24752, 104121, 26023, 630618, 9678, 21365, 2315631, 4050, 2260839, 2417362, 19191, 35694, 141051, 7555, 2346228, 22633, 49509, 713835, 1061610, 2080354, 21672, 23091, 107029
