84      , -271.287    , array([ 1.35267    ,  1.2282     ])
[1.35266664 1.22696964]
86      , -602.438    , array([ 0.606447   ,  0.76389    ])
88      , -324.651    , array([ 1.24817    ,  1.52456    ])
90      , -324.734    , array([ 1.24817    ,  1.52609    ])
[1.24817248 1.52456239]
92      , -693.957    , array([ 0.606447   ,  0.515667   ])
94      , -172.96     , array([ 1.52389    ,  0.758757   ])
96      , -173.016    , array([ 1.52389    ,  0.759516   ])
[1.52389423 0.75875708]
98      , -608.304    , array([ 0.606447   ,  0.7459     ])
100     , -314.323    , array([ 1.27058    ,  1.46049    ])
102     , -314.412    , array([ 1.27058    ,  1.46195    ])
[1.2705776  1.46048993]
104     , -594.097    , array([ 0.606447   ,  0.0886913  ])
106     , -345.579    , array([ 1.55777    ,  0.0638373  ])
108     , -345.514    , array([ 1.55777    ,  0.0639012  ])
[1.55776739 0.06383729]
110     , -642.828    , array([ 0.606447   ,  0.647303   ])
112     , -251.936    , array([ 1.38607    ,  1.13469    ])
114     , -252.039    , array([ 1.38607    ,  1.13583    ])
[1.3860699  1.13469339]
116     , -762.905    , array([ 0.606447   ,  0.270656   ])
118     , -180.941    , array([ 1.6467     ,  0.267069   ])
120     , -180.829    , array([ 1.6467     ,  0.267336   ])
[1.64670053 0.26706906]
122     , -610.25     , array([ 0.606447   ,  0.740023   ])
124     , -311.191    , array([ 1.27692    ,  1.441      ])
126     , -311.282    , array([ 1.27692    ,  1.44244    ])
[1.27691803 1.44099604]
128     , -735.531    , array([ 0.606447   ,  0.407228   ])
130     , -143.422    , array([ 1.60729    ,  0.507009   ])
132     , -143.403    , array([ 1.60729    ,  0.507516   ])
[1.60729497 0.50700916]
134     , -626.858    , array([ 0.606447   ,  0.691523   ])
136     , -281.18     , array([ 1.3347     ,  1.27691    ])
138     , -281.282    , array([ 1.3347     ,  1.27819    ])
[1.3347042  1.27691185]
140     , -691.529    , array([ 0.606447   ,  0.521751   ])
142     , -175.886    , array([ 1.51812    ,  0.774608   ])
144     , -175.946    , array([ 1.51812    ,  0.775383   ])
[1.51811863 0.77460847]
146     , -553.774    , array([ 0.606447   ,  0.071603   ])
148     , -360.094    , array([ 1.54095    ,  0.0500319  ])
150     , -360.046    , array([ 1.54095    ,  0.0500819  ])
[1.54095386 0.05003188]
152     , -449.632    , array([ 0.733813   ,  0.0521943  ])
154     , -366.467    , array([ 1.90467    ,  0.0387741  ])
156     , -366.427    , array([ 1.90467    ,  0.0388129  ])
[1.90466885 0.03877411]
158     , -504.456    , array([ 0.733813   ,  0.978683   ])
160     , -190.079    , array([ 1.7653     ,  1.57713    ])
162     , -190.24     , array([ 1.7653     ,  1.57871    ])
164     , -4605.49    , array([ 59.4179    ,  10.6358    ])
166     , -71.3539    , array([ 2.81414    ,  2.03156    ])
168     , -71.4763    , array([ 2.81414    ,  2.03359    ])
[2.81413822 2.03156172]
170     , -552.109    , array([ 0.733813   ,  0.700727   ])
172     , -100.178    , array([ 1.9035     ,  0.945116   ])
174     , -100.244    , array([ 1.9035     ,  0.946062   ])
[1.90349723 0.94511639]
176     , -531.691    , array([ 0.733813   ,  0.117317   ])
178     , -297.189    , array([ 1.94622    ,  0.0945245  ])
180     , -297.071    , array([ 1.94622    ,  0.0946191  ])
[1.94621776 0.09452454]
182     , -613.542    , array([ 0.733813   ,  0.3438     ])
184     , -110.054    , array([ 1.99227    ,  0.351136   ])
186     , -109.95     , array([ 1.99227    ,  0.351487   ])
[1.99227293 0.35113593]
188     , -524.901    , array([ 0.733813   ,  0.849315   ])
190     , -141.422    , array([ 1.83628    ,  1.262      ])
192     , -141.55     , array([ 1.83628    ,  1.26326    ])
[1.836276   1.26200033]
194     , -538.87     , array([ 0.733813   ,  0.770472   ])
196     , -117.023    , array([ 1.87399    ,  1.088      ])
198     , -117.12     , array([ 1.87399    ,  1.08909    ])
[1.87398607 1.08799966]
200     , -591.007    , array([ 0.733813   ,  0.506166   ])
202     , -80.7675    , array([ 1.96756    ,  0.593334   ])
204     , -80.7496    , array([ 1.96756    ,  0.593927   ])
[1.96756135 0.59333364]
206     , -509.228    , array([ 0.733813   ,  0.946678   ])
208     , -177.425    , array([ 1.78373    ,  1.49587    ])
210     , -177.58     , array([ 1.78373    ,  1.49737    ])
212     , -5297.05    , array([ 62.5852    ,  9.32538    ])
214     , -75.8061    , array([ 2.60977    ,  1.81941    ])
216     , -75.9274    , array([ 2.60977    ,  1.82123    ])
[2.60976814 1.81940892]
218     , -562.66     , array([ 0.733813   ,  0.647507   ])
220     , -90.547     , array([ 1.92407    ,  0.841838   ])
222     , -90.5903    , array([ 1.92407    ,  0.84268    ])
[1.92406913 0.84183801]
224     , -613.488    , array([ 0.733813   ,  0.344979   ])
226     , -109.495    , array([ 1.99218    ,  0.35307    ])
228     , -109.393    , array([ 1.99218    ,  0.353424   ])
[1.99218153 0.35307043]
230     , -553.911    , array([ 0.733813   ,  0.691517   ])
232     , -98.2606    , array([ 1.90733    ,  0.926653   ])
234     , -98.3233    , array([ 1.90733    ,  0.92758    ])
[1.90733331 0.92665312]
236     , -576.53     , array([ 0.733813   ,  0.17247    ])
238     , -233.82     , array([ 1.97088    ,  0.148735   ])
240     , -233.667    , array([ 1.97088    ,  0.148884   ])
[1.97087562 0.1487353 ]
242     , -556.915    , array([ 0.733813   ,  0.676285   ])
244     , -95.3595    , array([ 1.91328    ,  0.896891   ])
246     , -95.4152    , array([ 1.91328    ,  0.897789   ])
[1.91328017 0.89689124]
248     , -540.086    , array([ 0.733813   ,  0.76389    ])
250     , -115.285    , array([ 1.87676    ,  1.07434    ])
252     , -115.379    , array([ 1.87676    ,  1.07541    ])
