site id, SRR8180446, SRR8784358, SRR8784386, SRR8784379, SRR8784390, SRR8784370, SRR7658621, SRR7658580, SRR8784391, SRR8180448, SRR7658581, SRR8784372, SRR7658623, SRR8180449, SRR7658582, SRR8784360, SRR8180450, SRR8784353, SRR7658637, SRR8784394, SRR8784374, SRR7658596, SRR8784395, SRR7658656, SRR8784383, SRR8784396, SRR8784397, SRR8784376, SRR8784362, SRR8784377, SRR8784363, SRR8784364, SRR8784387
average pi, 0.0121818485639, 0.00918037661715, 0.0167688411378, 0.0152425396259, 0.0194450811148, 0.0144686440924, 0.0185303644567, 0.0156584962452, 0.0190101340042, 0.0158345666965, 0.0102607910172, 0.0182006090649, 0.0128916984729, 0.0169875564706, 0.0128656645538, 0.0119442988839, 0.0233075726094, 0.0176978032588, 0.0101289522996, 0.0148375865772, 0.0153939702398, 0.0139781838796, 0.0150737320636, 0.0121116826426, 0.016735076426, 0.0148783951659, 0.00543157170721, 0.0130040474376, 0.0156673813752, 0.0125101015809, 0.0120178799285, 0.00889768401562, 0.0134696920505
num_sites, 950253, 76143, 13552, 248659, 86630, 990253, 238636, 28370, 32242, 33981, 499835, 106003, 317110, 40823, 96900, 1516939, 123563, 1055062, 177033, 48769, 279724, 211988, 366031, 69014, 139088, 127800, 1200636, 1467339, 263369, 92264, 397256, 252301, 19213
aggregate_across_pi, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924, 0.0322524483924
distributed_across_pi, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544, 0.033336835544
