site id, b'700021295', b'700023578', b'700023788', b'700024233', b'700038472', b'700111296c', b'700117625', b'700165263c'
average pi, 0.013350459900822863, 0.010684805323721337, 0.011076782380055184, 0.007604541640881864, 0.00851164080783037, 0.009802498821505698, 0.00807419806667547, 0.004969385014057286
num_sites, 79769, 58777, 47512, 47308, 54820, 87460, 101424, 86951
aggregate_across_pi, 0.02973616525056181, 0.02973616525056181, 0.02973616525056181, 0.02973616525056181, 0.02973616525056181, 0.02973616525056181, 0.02973616525056181, 0.02973616525056181
distributed_across_pi, 0.029740866083625084, 0.029740866083625084, 0.029740866083625084, 0.029740866083625084, 0.029740866083625084, 0.029740866083625084, 0.029740866083625084, 0.029740866083625084
