site id, SRR7658593, SRR8784360, SRR8784394, SRR8784357, SRR8784397, SRR8784385, SRR8784367
average pi, 0.0007114139510103452, 0.00463415531276427, 0.0008509950726155494, 0.0029659538212664545, 0.0007168671338080087, 0.0007911927468960348, 0.0007762057733841842
num_sites, 17998, 21041, 265478, 50329, 3030523, 487267, 2296456
