site id, b'700106504', b'700163981'
average pi, 0.006066724335567177, 0.010120259145216186
num_sites, 4455, 9025
aggregate_across_pi, 0.015180680962914415, 0.015180680962914415
distributed_across_pi, 0.015180680962914415, 0.015180680962914415
