site id, SRR7658630, SRR8784386, SRR8180447, SRR8784371, SRR8784380, SRR7658592, SRR8784372, SRR7658643, SRR8784360, SRR8784382, SRR8784375, SRR8784383, SRR8784397, SRR8784376, SRR8784377, SRR8784384, SRR8784387
average pi, 0.00416203807899, 0.00214760313766, 0.000657128821202, 0.00665474157424, 0.0067945597297, 0.0107516253842, 0.00403923432713, 0.000563020173682, 0.00442548867391, 0.00405396090782, 0.000553698072019, 0.00489618391686, 0.00527160440957, 0.0113682359342, 0.0100938949487, 0.00139414738994, 0.00180809230628
num_sites, 846227, 1142354, 944978, 22783, 262728, 11654, 31668, 1259831, 792501, 935711, 1718693, 17466, 41075, 14408, 20430, 632756, 229228
across_species_pi, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658, 0.000129955948658
