site id, SRR8180446, SRR8784378, SRR8784388, SRR8784386, SRR8784390, SRR8784370, SRR8784391, SRR8784371, SRR8180448, SRR8784380, SRR8180449, SRR8784360, SRR8180450, SRR8784353, SRR8784374, SRR8784395, SRR8784362, SRR8784377, SRR8784363, SRR8784364
average pi, 0.00129219727013, 0.00285834214901, 0.000672808864599, 0.00494133931847, 0.00213764192906, 0.00380247807863, 0.00118575003287, 0.000546737462011, 0.00331271023644, 0.00291197098622, 0.00197016774891, 0.000768561653543, 0.00151031565885, 0.002804048595, 0.00118754926008, 0.00373719579005, 0.00228999963858, 0.00116135102057, 0.00589475002675, 0.00210606311801
num_sites, 1626168, 235127, 430715, 13943, 93690, 10491, 336566, 367204, 295040, 111633, 1007492, 1310349, 130911, 32089, 252765, 226903, 293194, 570145, 6316, 697135
aggregate_across_pi, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063, 0.0285155892063
distributed_across_pi, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552, 0.0279488090552
