"","File","numSeqs","alignSeq","unalignSeq","numBases","alignBases","unalignBases"
"39","SRR10873942",14,0.928571,0.071429,1972613,0.918587,0.081413
"40","SRR10873951",31,0.741935,0.258065,2003103,0.881124,0.118876
"41","SRR10873953",23,1,0,1984197,0.895192,0.104808
"42","SRR10873955",13,1,0,2000207,0.924395,0.075605
"43","SRR10873958",12,1,0,2042886,0.882427,0.117573
"44","SRR10873962",13,1,0,2025957,0.88062,0.11938
"45","SRR10873963",21,0.857143,0.142857,2008853,0.89067,0.10933
"46","SRR10873965",23,0.73913,0.26087,1974237,0.891496,0.108504
"47","SRR10873973",11,1,0,2024785,0.893437,0.106563
"48","SRR10873976",20,0.9,0.1,1966844,0.911599,0.088401
"49","SRR10873979",26,1,0,2005474,0.924763,0.075237
"50","SRR10873980",17,1,0,1970194,0.909932,0.090068
"51","SRR10873982",18,1,0,2000585,0.898305,0.101695
"52","SRR10873994",13,1,0,2012973,0.904948,0.095052
"53","SRR10873996",33,0.939394,0.060606,1975840,0.89904,0.10096
"54","SRR10873999",12,1,0,2006260,0.906976,0.093024
"55","SRR10883126",17,1,0,2024541,0.887303,0.112697
"56","SRR10901556",17,1,0,2033278,0.907708,0.092292
"57","SRR10901557",28,0.821429,0.178571,2006656,0.880144,0.119856
"58","SRR10901558",20,0.9,0.1,1994202,0.899269,0.100731
"59","SRR10901559",25,0.76,0.24,1994985,0.886639,0.113361
"60","SRR10901560",14,1,0,1989227,0.909476,0.090524
"61","SRR10901561",17,1,0,1988935,0.908754,0.091246
"62","SRR10901562",24,0.875,0.125,2109700,0.842809,0.157191
"63","SRR10901563",13,1,0,2004783,0.918554,0.081446
"64","SRR10901566",13,1,0,2026531,0.898183,0.101817
"65","SRR10901567",18,0.833333,0.166667,1977477,0.901455,0.098545
"66","SRR10901568",21,1,0,1962303,0.917441,0.082559
"67","SRR10901577",24,0.541667,0.458333,2086804,0.857302,0.142698
"68","SRR10901578",12,1,0,2076677,0.860719,0.139281
"69","SRR10901579",16,1,0,1998388,0.918179,0.081821
"70","SRR10901580",13,1,0,1998911,0.918143,0.081857
"71","SRR10901591",15,0.933333,0.066667,1960054,0.929612,0.070388
"72","SRR10901592",16,0.9375,0.0625,1959605,0.929599,0.070401
"73","SRR10901593",15,1,0,1994376,0.91422,0.08578
"74","SRR10901678",11,1,0,1996925,0.914146,0.085854
"75","SRR10901679",20,1,0,1990674,0.905647,0.094353
"76","SRR10901680",17,0.941176,0.058824,1994429,0.905023,0.094977
"77","SRR10901681",29,0.896552,0.103448,1958626,0.909209,0.090791
"78","SRR10901682",33,0.878788,0.121212,1953708,0.910364,0.089636
"79","SRR10901731",23,0.913043,0.086957,2095611,0.849904,0.150096
"80","SRR10901732",22,0.818182,0.181818,2095649,0.850345,0.149655
"81","SRR10901733",17,1,0,1990636,0.915427,0.084573
"82","SRR10901734",14,1,0,1993814,0.915098,0.084902
"83","SRR10901735",29,1,0,1983749,0.895058,0.104942
"84","SRR10901736",20,1,0,1976882,0.895354,0.104646
"85","SRR13617002",248086,0.798606,0.201394,1576878270,0.817409,0.182591
"86","SRR16475117",569118,0.800396,0.199604,171873636,0.752941,0.247059
"87","SRR16475118",1263532,0.647503,0.352497,463995997,0.492077,0.507923
"88","SRR16475119",562713,0.757384,0.242616,152217524,0.744036,0.255964
"89","SRR16475120",1002800,0.73795,0.26205,302845600,0.682556,0.317444
"90","SRR16475122",391215,0.58397,0.41603,118146930,0.562306,0.437694
"91","SRR16475126",763780,0.866844,0.133156,230661560,0.802472,0.197528
"92","SRR16475131",1518759,0.606991,0.393009,455818973,0.508288,0.491712
"93","SRR16475132",1051503,0.77561,0.22439,374606353,0.733617,0.266383
"94","SRR16475133",772570,0.738135,0.261865,242937109,0.664389,0.335611
"95","SRR16475134",987592,0.728345,0.271655,338837196,0.658711,0.341289
"96","SRR16475135",1120166,0.851309,0.148691,338290132,0.817135,0.182865
"97","SRR16475136",1049049,0.760549,0.239451,316812798,0.681072,0.318928
"98","SRR16475137",679534,0.858983,0.141017,205219268,0.797032,0.202968
"99","SRR16475138",1233299,0.790467,0.209533,372456298,0.712064,0.287936
"100","SRR16475139",670234,0.758046,0.241954,211584941,0.684716,0.315284
"101","SRR16475146",978767,0.743941,0.256059,295587634,0.639701,0.360299
"102","SRR16475148",547625,0.691296,0.308704,185787477,0.67054,0.32946
"103","SRR16475152",547915,0.825666,0.174334,221101304,0.810861,0.189139
"104","SRR16475153",688138,0.788791,0.211209,263631414,0.793433,0.206567
"105","SRR16475154",900963,0.621733,0.378267,272090826,0.516783,0.483217
"106","SRR16475155",829989,0.536213,0.463787,257413892,0.437453,0.562547
"107","SRR16475159",560735,0.895377,0.104623,169341970,0.863761,0.136239
"108","SRR16475162",547778,0.800768,0.199232,179216520,0.708812,0.291188
"109","SRR16475165",593372,0.693187,0.306813,240275099,0.718063,0.281937
"110","SRR16475168",285666,0.80647,0.19353,86271132,0.768636,0.231364
"111","SRR16475169",907067,0.863032,0.136968,273934234,0.803949,0.196051
"112","SRR16475170",654980,0.822456,0.177544,197803960,0.679872,0.320128
"113","SRR16475172",665310,0.83718,0.16282,200923620,0.717021,0.282979
"114","SRR16475173",611142,0.829928,0.170072,184564884,0.683271,0.316729
"115","SRR16475174",719818,0.847411,0.152589,217385036,0.771021,0.228979
"116","SRR16475176",968653,0.848684,0.151316,292533206,0.81643,0.18357
"117","SRR16475177",414767,0.855796,0.144204,168693122,0.833118,0.166882
"118","SRR16475179",707229,0.786889,0.213111,229163234,0.735317,0.264683
"119","SRR16475184",621314,0.803338,0.196662,197449233,0.748171,0.251829
"120","SRR16475185",669130,0.835439,0.164561,224182795,0.807693,0.192307
"121","SRR16475186",428929,0.795113,0.204887,137716159,0.738709,0.261291
"122","SRR16475188",736859,0.900088,0.099912,252142935,0.851902,0.148098
"123","SRR16475192",296106,0.874558,0.125442,134651627,0.868756,0.131244
"124","SRR16475193",588091,0.733312,0.266688,181430871,0.675509,0.324491
"125","SRR16475200",685259,0.851458,0.148542,213198971,0.797957,0.202043
"126","SRR16962982",1065082,0.918493,0.081507,556656071,0.906476,0.093524
"127","SRR5309258",977255,0.858554,0.141446,195451000,0.821658,0.178342
"128","SRR8244659",1238485,0.876038,0.123962,587659626,0.855633,0.144367
"129","SRR8443689",601486,0.722767,0.277233,301945972,0.664202,0.335798
"130","SRR8443691",404647,0.971002,0.028998,203132794,0.910274,0.089726
"131","SRR8443692",485793,0.947132,0.052868,243868086,0.779173,0.220827
"132","SRR8443696",472243,0.963004,0.036996,237065986,0.867667,0.132333
"133","SRR8443697",473553,0.965239,0.034761,237723606,0.894005,0.105995
