File, numSeqs, alignSeq, unalignSeq, numBases, alignBases, unalignBases
SRR16475176, 968653, 84.8684, 15.1316, 292533206, 81.6430, 18.3570
SRR16475177, 414767, 85.5796, 14.4204, 168693122, 83.3118, 16.6882
SRR16475179, 707229, 78.6889, 21.3111, 229163234, 73.5317, 26.4683
SRR16475184, 621314, 80.3338, 19.6662, 197449233, 74.8171, 25.1829
SRR16475185, 669130, 83.5439, 16.4561, 224182795, 80.7693, 19.2307
SRR16475186, 428929, 79.5113, 20.4887, 137716159, 73.8709, 26.1291
SRR16475188, 736859, 90.0088, 9.9912, 252142935, 85.1902, 14.8098
SRR16475192, 296106, 87.4558, 12.5442, 134651627, 86.8756, 13.1244
SRR16475193, 588091, 73.3312, 26.6688, 181430871, 67.5509, 32.4491
SRR16475200, 685259, 85.1458, 14.8542, 213198971, 79.7957, 20.2043
SRR16962982, 1065082, 91.8493, 8.1507, 556656071, 90.6476, 9.3524
SRR5309258, 977255, 85.8554, 14.1446, 195451000, 82.1658, 17.8342
SRR8244659, 1238485, 87.6038, 12.3962, 587659626, 85.5633, 14.4367
SRR8443689, 601486, 72.2767, 27.7233, 301945972, 66.4202, 33.5798
SRR8443691, 404647, 97.1002, 2.8998, 203132794, 91.0274, 8.9726
SRR8443692, 485793, 94.7132, 5.2868, 243868086, 77.9173, 22.0827
SRR8443696, 472243, 96.3004, 3.6996, 237065986, 86.7667, 13.2333
SRR8443697, 473553, 96.5239, 3.4761, 237723606, 89.4005, 10.5995
