site id, 700014386, 700016716c, 700023872c, 700024086c, 700024437, 700033153c, 700034254, 700037539c, 700038472, 700096380, 700106198, 700109987, 700114125, 700116668, 700117625, 700163181, 700172461, 700175181
average pi, 0.007842836970752205, 0.005155430056819404, 0.005558889051005596, 0.002336493464232745, 0.0026943318526712647, 0.009534527388945613, 0.003346888097942472, 0.002072003221926069, 0.01040841108064619, 0.007630412085760975, 0.007472465534928171, 0.0068868218729649594, 0.005428160855772015, 0.012253760044077702, 0.001185036938821093, 0.005792804289373524, 0.006864658499231711, 0.007233075503433758
num_sites, 7459, 116185, 76149, 1018703, 687750, 56557, 72155, 1384450, 43951, 25539, 145761, 38457, 6267, 69758, 2166995, 51550, 16845, 55292
