site id, b'700013715', b'700015981', b'700021295', b'700023603', b'700024615', b'700032413', b'700033435', b'700037090', b'700037303', b'700037757', b'700037916', b'700038053', b'700038472', b'700095353', b'700096380', b'700099059', b'700101916', b'700102299', b'700102586c', b'700105306', b'700105580c', b'700109564c', b'700110419', b'700112490', b'700116028', b'700116248', b'700122108c', b'700161219', b'700163181', b'700163868c', b'700165167', b'700165634', b'700165778', b'700165809', b'700167759', b'700171441', b'700171648', b'700172498c', b'700172621', b'700172813', b'700172870'
average pi, 0.0014817106102830338, 0.001780278834692417, 0.004100935123177438, 0.00447881358337465, 0.0013485115968954245, 0.002323364010937775, 0.003143404236157538, 0.003468285437363469, 0.003350743539626672, 0.0053903235937383335, 0.010313824225843366, 0.0031051928672350022, 0.0036060155683597297, 0.0023377269233087164, 0.0018151379193228165, 0.005677582463101346, 0.0032938870137523913, 0.001525926142669504, 0.0023460284982927786, 0.001442869072978811, 0.00266254936419704, 0.003199678243040648, 0.00034590547675936487, 0.003640860262958935, 0.002856642688796951, 0.008299177013145996, 0.0019952455282270685, 0.001400728608874461, 0.002983903655217957, 0.0017803334169705352, 0.005084588557918603, 0.0013690791301901528, 0.00147430562397974, 0.0009763295250724367, 0.001514570099966963, 0.0006684882454379336, 0.0034948072781910834, 0.001582087435356075, 0.00546175080165491, 0.004852593438907, 0.0008400417457902347
num_sites, 2356234, 4963940, 4442112, 4384541, 3918647, 3098, 41256, 4272414, 1425456, 4783, 6440, 49871, 26228, 16371, 4859231, 50201, 34992, 4269211, 661248, 1284397, 38345, 5105140, 4174073, 491735, 3925589, 120120, 4384865, 404272, 5130449, 5529061, 42752, 3858782, 30587, 983139, 87383, 5185874, 159967, 591136, 18240, 212168, 63966
aggregate_across_pi, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552, 0.010872591663628552
distributed_across_pi, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953, 0.014006456526779953
