run_accession,sample_accession,experiment_accession,study_accession,sra_ftp
SRR7658591,SAMN09781713,SRX4520295,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658591
SRR7658593,SAMN09781715,SRX4520293,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658593
SRR7658594,SAMN09781714,SRX4520292,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658594
SRR7658596,SAMN09781716,SRX4520290,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658596
SRR7658598,SAMN09781718,SRX4520288,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658598
SRR7658599,SAMN09781702,SRX4520287,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658599
SRR7658600,SAMN09781703,SRX4520286,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658600
SRR7658602,SAMN09781701,SRX4520284,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658602
SRR7658603,SAMN09781706,SRX4520283,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658603
SRR7658605,SAMN09781704,SRX4520281,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658605
SRR7658608,SAMN09781709,SRX4520278,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658608
SRR7658610,SAMN09781680,SRX4520276,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658610
SRR7658615,SAMN09781687,SRX4520271,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658615
SRR7658618,SAMN09781688,SRX4520268,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658618
SRR7658622,SAMN09781734,SRX4520264,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658622
SRR7658627,SAMN09781739,SRX4520259,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658627
SRR7658633,SAMN09781724,SRX4520253,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658633
SRR7658640,SAMN09781789,SRX4520246,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658640
SRR7658643,SAMN09781780,SRX4520243,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658643
SRR7658653,SAMN09781757,SRX4520233,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658653
SRR7658660,SAMN09781772,SRX4520226,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658660
SRR7658665,SAMN09781775,SRX4520221,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658665
SRR7658666,SAMN09781774,SRX4520220,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658666
SRR7658667,SAMN09781791,SRX4520219,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658667
SRR7658673,SAMN09781746,SRX4520213,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658673
SRR7658674,SAMN09781747,SRX4520212,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658674
SRR7658675,SAMN09781744,SRX4520211,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658675
SRR7658676,SAMN09781745,SRX4520210,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658676
SRR7658680,SAMN09781741,SRX4520206,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658680
SRR7658684,SAMN09781692,SRX4520202,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658684
SRR7658686,SAMN09781690,SRX4520200,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658686
SRR7658687,SAMN09781697,SRX4520199,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658687
SRR7658690,SAMN09781694,SRX4520196,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658690
SRR7658579,SAMN09781768,SRX4520307,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658579
SRR7658581,SAMN09781764,SRX4520305,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658581
SRR7658582,SAMN09781765,SRX4520304,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658582
SRR7658584,SAMN09781767,SRX4520302,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658584
SRR7658586,SAMN09781761,SRX4520300,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658586
SRR7658589,SAMN09781711,SRX4520297,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658589
SRR7658592,SAMN09781712,SRX4520294,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658592
SRR7658597,SAMN09781719,SRX4520289,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658597
SRR7658606,SAMN09781705,SRX4520280,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658606
SRR7658612,SAMN09781682,SRX4520274,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658612
SRR7658616,SAMN09781686,SRX4520270,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658616
SRR7658617,SAMN09781689,SRX4520269,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658617
SRR7658623,SAMN09781733,SRX4520263,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658623
SRR7658625,SAMN09781731,SRX4520261,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658625
SRR7658630,SAMN09781721,SRX4520256,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658630
SRR7658632,SAMN09781723,SRX4520254,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658632
SRR7658635,SAMN09781726,SRX4520251,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658635
SRR7658637,SAMN09781728,SRX4520249,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658637
SRR7658642,SAMN09781783,SRX4520244,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658642
SRR7658647,SAMN09781784,SRX4520239,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658647
SRR7658649,SAMN09781759,SRX4520237,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658649
SRR7658650,SAMN09781758,SRX4520236,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658650
SRR7658656,SAMN09781750,SRX4520230,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658656
SRR7658658,SAMN09781752,SRX4520228,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658658
SRR7658661,SAMN09781771,SRX4520225,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658661
SRR7658662,SAMN09781770,SRX4520224,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658662
SRR7658669,SAMN09781779,SRX4520217,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658669
SRR7658670,SAMN09781778,SRX4520216,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658670
SRR7658671,SAMN09781748,SRX4520215,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658671
SRR7658672,SAMN09781749,SRX4520214,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658672
SRR7658679,SAMN09781740,SRX4520207,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658679
SRR7658682,SAMN09781698,SRX4520204,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658682
SRR7658683,SAMN09781693,SRX4520203,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658683
