site id, b'700021824', b'700024437', b'700095647', b'700100022', b'700105580c', b'700106229c', b'700164159c', b'700165778', b'700172498c'
average pi, 0.0010016032404015058, 0.0018812839220056893, 0.0021465113580556435, 0.00443931370798694, 0.004342027875132688, 0.006244415459049606, 0.005134418234142794, 0.0034145443279469103, 0.006009280692548004
num_sites, 121983, 35445, 301825, 11548, 194137, 5583, 9001, 5681, 12263
aggregate_across_pi, 0.02888905863991603, 0.02888905863991603, 0.02888905863991603, 0.02888905863991603, 0.02888905863991603, 0.02888905863991603, 0.02888905863991603, 0.02888905863991603, 0.02888905863991603
distributed_across_pi, 0.026043045699087844, 0.026043045699087844, 0.026043045699087844, 0.026043045699087844, 0.026043045699087844, 0.026043045699087844, 0.026043045699087844, 0.026043045699087844, 0.026043045699087844
