site id, b'700015250c', b'700016960', b'700023603', b'700024234', b'700032944', b'700034794', b'700038263', b'700038414', b'700038472', b'700097482', b'700097688', b'700097906c', b'700097973', b'700100022', b'700101581', b'700105153', b'700108161c', b'700108530', b'700109231c', b'700112046', b'700113762', b'700117184', b'700117766', b'700122165c', b'700122765', b'700123135', b'700124429', b'700165809', b'700166775', b'700171114', b'700173627'
average pi, 0.002248249475901076, 0.001910266112648289, 0.0031456354620300504, 0.005160336181272789, 0.0013498304172929751, 0.002133752086359237, 0.0017486526471393205, 0.0016363722005328753, 0.0009139142728063172, 0.0029340242381724647, 0.002104472961317531, 0.0030556107671536577, 0.0018821313950633132, 0.002342146103348065, 0.0018887830707327114, 0.0046752556424924, 0.003229509935479763, 0.003252424416016558, 0.0006974126719181642, 0.003573114936243525, 0.0034823131327181046, 0.0023614779147333224, 0.002909833625932515, 0.0033462854440049804, 0.0015644756250616908, 0.001911586498005098, 0.0004716952627074462, 0.0009171653011595656, 0.003387444574930736, 0.002470989614025292, 0.0033895243134858997
num_sites, 1656282, 4620357, 42953, 777324, 4374668, 329439, 2312412, 2661919, 671157, 34718, 4200370, 77301, 61375, 76214, 4580554, 78731, 1605673, 1714351, 4287770, 1570472, 4062655, 46026, 834609, 275696, 957447, 25889, 3080066, 108043, 366977, 64840, 1412061
aggregate_across_pi, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638, 0.009377553745455638
distributed_across_pi, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847, 0.009370752991710847
