site id, SRR7658589, SRR7658599, SRR7658619, SRR7658629, SRR7658659, SRR7658669, SRR7658679, SRR7658689, SRR8180446, SRR8784358, SRR8784368, SRR8784378, SRR8784388, SRR7658613, SRR7658684, SRR8784389, SRR7658630, SRR8784369, SRR7658671, SRR8784386, SRR7658686, SRR7658661, SRR7658601, SRR8784379, SRR7658650, SRR7658618, SRR8784390, SRR7658621, SRR7658580, SRR7658677, SRR7658632, SRR8784391, SRR8784371, SRR8180448, SRR8784380, SRR7658591, SRR8784392, SRR7658605, SRR7658581, SRR7658592, SRR8784372, SRR7658606, SRR8180449, SRR7658635, SRR8784381, SRR7658582, SRR7658644, SRR7658624, SRR8784360, SRR7658608, SRR7658666, SRR8180450, SRR7658636, SRR8784382, SRR7658654, SRR7658655, SRR8784393, SRR7658595, SRR8784353, SRR7658625, SRR8784354, SRR8784374, SRR8784355, SRR7658627, SRR8784395, SRR7658598, SRR8784356, SRR8784383, SRR8784396, SRR7658648, SRR7658657, SRR8784397, SRR8784376, SRR7658584, SRR7658628, SRR8784362, SRR7658658, SRR8784377, SRR7658585, SRR8784364, SRR7658586, SRR7658588, SRR8784387, SRR8784365, SRR8784366
average pi, 0.000930974129856, 0.00100590935859, 0.00882350942841, 0.00995719156672, 0.00874769292875, 0.00110733265854, 0.00544176847334, 0.0123504972448, 0.00889983021757, 0.0139208878303, 0.0141143069832, 0.012349644296, 0.00892378286457, 0.0104020699667, 0.00245441614463, 0.00679506540432, 0.000520720627278, 0.013753589104, 0.00143089926271, 0.0109277860511, 0.000789011949702, 0.00203877756963, 0.0100087158141, 0.00322386254517, 0.0184236374071, 0.0104301088937, 0.0136413393803, 0.00179854777749, 0.00102413392724, 0.0173172980573, 0.00792567929622, 0.00971784004162, 0.0145771821677, 0.0152673434067, 0.015144243256, 0.00145489264616, 0.0123180483598, 0.0162107295712, 0.0013160828834, 0.0103229654308, 0.000861506712219, 0.0118863885209, 0.00879523981156, 0.000910500404163, 0.00687443362704, 0.00821131639479, 0.00894491953824, 0.000912025842329, 0.00808691303966, 0.000907504385583, 0.0121166718885, 0.0135501533447, 0.000613655827684, 0.0134471713475, 0.00117246590091, 0.00136034954216, 0.0112573720629, 0.000819913308585, 0.0164789167474, 0.00112627226975, 0.0148324922445, 0.00942852842439, 0.000823362503179, 0.0072284284771, 0.0128675207965, 0.0119564314779, 0.00660167940558, 0.0105158200967, 0.00247188338278, 0.00394924324418, 0.00092253528593, 0.0104599192203, 0.0135771307451, 0.00561333055659, 0.0131186195157, 0.0134208610716, 0.00194197154193, 0.0138635419538, 0.00113888967393, 0.0137882719471, 0.00214799873419, 0.0022089857844, 0.00839005318719, 0.0120434909032, 0.000781008593885
num_sites, 2077232, 2059865, 34386, 54388, 102327, 2120409, 69591, 55474, 1546287, 2265910, 2199862, 1863263, 1893723, 42394, 108094, 2311118, 1656837, 2148293, 1687839, 2136652, 1959352, 1080888, 44640, 2068802, 26860, 28805, 259174, 1815291, 2234926, 18346, 39180, 441065, 140347, 2380670, 2204051, 716044, 216696, 34985, 2126191, 103455, 2093157, 20358, 2435732, 1386320, 2354559, 105283, 65931, 1819436, 2294711, 1826706, 70812, 1581014, 1940722, 23832, 2018967, 645123, 178618, 2096411, 33190, 2102863, 1560667, 156524, 2255388, 95216, 1194220, 89797, 91482, 1189675, 1895905, 335073, 2264601, 22877, 1033020, 64778, 15583, 72026, 2174092, 1963500, 1659511, 2132433, 1131383, 1869277, 2257415, 2441367, 2233541
across_species_pi, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05, 7.10034506531e-05
