site id, b'700016765', b'700033726', b'700037123c', b'700101534'
average pi, 0.004647720640805952, 0.0005769310393631185, 0.005324439609301145, 0.0013647346460180382
num_sites, 134790, 3621028, 77372, 3849209
aggregate_across_pi, 0.008266683636552873, 0.008266683636552873, 0.008266683636552873, 0.008266683636552873
distributed_across_pi, 0.010312933486363552, 0.010312933486363552, 0.010312933486363552, 0.010312933486363552
