site id, 700023919c, 700033665, 700101366, 700103477c, 700105580c, 700106646c, 700116358c, 700116611c, 700164159c, 700171115c
average pi, 0.0022915070111, 0.0063201014905, 0.00245313148054, 0.001607465907, 0.00364671196298, 0.00315952122325, 0.0048509793465, 0.00603109263782, 0.00187353295995, 0.00403421515889
num_sites, 308590, 33128, 78296, 813418, 29335, 953732, 64868, 67732, 194816, 35623
across_species_pi, 0.000262384569854, 0.000262384569854, 0.000262384569854, 0.000262384569854, 0.000262384569854, 0.000262384569854, 0.000262384569854, 0.000262384569854, 0.000262384569854, 0.000262384569854
