site id, b'700013600', b'700023390', b'700032222c', b'700033665', b'700034838', b'700037123c', b'700038870c', b'700096380', b'700106170', b'700108095c', b'700116730', b'700117828c', b'700123562', b'700164735', b'700165634', b'700171341', b'700172279'
average pi, 0.0006103138600937389, 0.0054402978925849, 0.004514079517449078, 0.0015355268837649544, 0.0024445488422582566, 0.0038927189715702686, 0.0016101694915254252, 0.0023161929154382355, 0.0010876070089991814, 0.005217859985133313, 0.0038193319068306956, 0.002418268728878074, 0.00534395584450746, 0.003693883054758021, 0.0015604683830627573, 0.003750204897923529, 0.0047185449760077025
num_sites, 981023, 20250, 1881992, 137350, 32831, 21839, 59, 1686, 1003, 375, 495, 24568, 6536, 1824808, 1782, 804489, 3529
aggregate_across_pi, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527, 0.013393420458428527
distributed_across_pi, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787, 0.012767383463916787
