site id, b'SRR7658649', b'SRR7658676', b'SRR7658581', b'SRR7658593', b'SRR8784360', b'SRR7658646', b'SRR7658648', b'SRR7658587'
average pi, 0.010677134384539074, 0.011765964111690015, 0.01071856598756972, 0.0021726478164194357, 0.010951612675997464, 0.0024417591059893887, 0.0025734710284934987, 0.011112040491534365
num_sites, 52844, 958150, 22668, 73459, 65993, 84473, 1583526, 45861
aggregate_across_pi, 0.03312421753136234, 0.03312421753136234, 0.03312421753136234, 0.03312421753136234, 0.03312421753136234, 0.03312421753136234, 0.03312421753136234, 0.03312421753136234
distributed_across_pi, 0.031209854438992424, 0.031209854438992424, 0.031209854438992424, 0.031209854438992424, 0.031209854438992424, 0.031209854438992424, 0.031209854438992424, 0.031209854438992424
