site id, SRR8784392, SRR8784397
average pi, 0.00751670116681, 0.00131329090619
num_sites, 1682047, 1428261
aggregate_across_pi, 0.0319887009674, 0.0319887009674
distributed_across_pi, 0.0319887009674, 0.0319887009674
