site id, SRR7658659, SRR8784389, SRR8180447, SRR8180448, SRR8784372, SRR7658638, SRR8784355, SRR7658597, SRR8784356
average pi, 0.0004342794277965958, 0.00744706423039914, 0.0013967092385280852, 0.0071826452352312005, 0.0029675322355042916, 0.007634158656396842, 0.001554824017987363, 0.001836897477716872, 0.0024878048173977733
num_sites, 105748, 69893, 145698, 38465, 17800, 43133, 49327, 16498, 20122
