site id, b'SRR8784394', b'SRR8784361', b'SRR8784357', b'SRR8784385', b'SRR8784367'
average pi, 0.005730412758263161, 0.003051000714849464, 0.003527545099620278, 0.004176338294477015, 0.004532667415155545
num_sites, 12082, 1507438, 409094, 213950, 2026249
aggregate_across_pi, 0.020410319767651765, 0.020410319767651765, 0.020410319767651765, 0.020410319767651765, 0.020410319767651765
distributed_across_pi, 0.023641451553172838, 0.023641451553172838, 0.023641451553172838, 0.023641451553172838, 0.023641451553172838
