site id, b'700015181c', b'700015702', b'700016542c', b'700016716c', b'700037453c', b'700038386', b'700038594c', b'700038702', b'700038806c', b'700038956', b'700097291', b'700098267', b'700102586c', b'700105153', b'700105991', b'700106229c', b'700106325c', b'700116358c', b'700117625', b'700119496c', b'700161945', b'700164870', b'700165148', b'700165778', b'700171066', b'700171916c'
average pi, 0.0026243386755412114, 0.0014937660640079982, 0.0013397914746433243, 0.0031493414320647732, 0.001558456671052048, 0.0026006699125332537, 0.0023220577459033675, 0.003177362107631637, 0.0014807562491152705, 0.00537260807232653, 0.000764041035570575, 0.0007630312329385629, 0.0011520063912622057, 0.0032916290059141207, 0.004572731026615136, 0.002531066421503741, 0.003357849626909301, 0.002090256265747144, 0.0013090898738433484, 0.0012462060745712198, 0.0006208744891367451, 0.0015521308764237926, 0.0006334522891497161, 0.0014801135899324596, 0.000641891671894226, 0.0011862652716185982
num_sites, 8356, 2100821, 5625, 1965347, 2685, 22583, 253975, 2209, 2530543, 133324, 14617, 80798, 2072927, 143, 27733, 2714362, 2413, 25384, 65198, 10162, 819259, 5453, 1249468, 8799, 348175, 2642837
aggregate_across_pi, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464, 0.01364816651911464
distributed_across_pi, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797, 0.012505905617590797
