site id, b'SRR7658589', b'SRR7658599', b'SRR7658659', b'SRR7658673', b'SRR8180447', b'SRR7658621', b'SRR7658677', b'SRR7658632', b'SRR8784391', b'SRR8180448', b'SRR8784380', b'SRR8784372', b'SRR7658623', b'SRR8180449', b'SRR7658582', b'SRR7658665', b'SRR7658644', b'SRR7658608', b'SRR7658666', b'SRR8784382', b'SRR7658655', b'SRR7658637', b'SRR7658656', b'SRR8784383', b'SRR7658584', b'SRR7658587'
average pi, 0.002253919223779082, 0.01088279698373841, 0.005019718835688254, 0.01413308942514062, 0.0026491261368708145, 0.014486558068420322, 0.007595791182129053, 0.0006649095795155343, 0.017962421992180466, 0.01885726115630033, 0.009789061399384692, 0.002839288310001826, 0.009692866529823724, 0.01391390000425087, 0.0018685147648077563, 0.005313591857462845, 0.0019059900683974236, 0.002399630327831563, 0.009924334765141027, 0.008540658171505207, 0.008201454957900513, 0.015112674595963225, 0.006791693833317714, 0.001847011540983331, 0.014303419789925054, 0.008967930604189298
num_sites, 692318, 280009, 239592, 45315, 2222256, 78965, 25906, 1959391, 67828, 210379, 518286, 2086272, 97550, 632277, 2088476, 187329, 1899402, 671846, 90597, 992113, 96616, 51116, 348415, 2039523, 180502, 2209763
aggregate_across_pi, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602, 0.03881557365270602
distributed_across_pi, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666, 0.039910260781361666
