site id, SRR8784361, SRR8784355, SRR8784375, SRR8784397, SRR8784384, SRR8784385, SRR8784367
average pi, 0.001125749242914125, 0.01039294764313014, 0.0049737290174120445, 0.006272259474211203, 0.011959538590223607, 0.010650659756250038, 0.0041500899723753825
num_sites, 764090, 643093, 988045, 125602, 223960, 749448, 1242399
