"","Bacteroidales bacterium","Alistipes putredinis","Alistipes finegoldii","Alistipes onderdonkii","Alistipes shahii","Odoribacter splanchnicus","Parabacteroides distasonis","Parabacteroides merdae","Prevotella copri","Bacteroides fragilis","Bacteroides cellulosilyticus","Bacteroides stercoris","Bacteroides uniformis","Bacteroides thetaiotaomicron","Bacteroides xylanisolvens","Bacteroides caccae","Bacteroides vulgatus","Barnesiella intestinihominis","Akkermansia muciniphila","Dialister invisus","Phascolarctobacterium species","Eubacterium eligens","Eubacterium rectale","Oscillibacter species","Ruminococcus bromii","Ruminococcus bicirculans","Faecalibacterium prausnitzii"
"Bacteroidales bacterium","0",-3.5758534825809,-23.1649005240133,-1.37877015922959,-1.37312336563264,-1.17447310980174,-63.8850338649393,-71.4240181949212,-109.217637255932,-37.5016522767025,-27.7437644893766,-0.294549290919122,-6.42656694923676,-18.2307423831624,-37.9521479240698,-13.326656529538,-1.36896849951358,-8.09927607304917,-14.1152994985055,-0.590222351325338,-3.03953645104002,-44.2147164786852,-62.2162017563612,-63.6127105612065,-0.315946481630363,-7.6179389391059,-0.364193539942335
"Alistipes putredinis","-3.5758534825809",0,-8.40590595511094,-0.0949769031326468,-8.19659258211709,-7.36603633613868,-84.8908110248062,-93.2242240088394,-131.615094910304,-57.1593047420308,-45.6897271186517,-4.07009785650769,-16.1355894672831,-31.8560102426668,-57.8449936663274,-28.1860034955694,-7.5653617684203,-20.7015075050308,-28.0567134461905,-0.755551232883136,-0.0510854708609259,-64.580457270024,-82.2204901066323,-83.0793740685134,-2.11758622568641,-20.7029406577121,-5.67618473592097
"Alistipes finegoldii","-23.1649005240133",-8.40590595511094,0,-7.55896218998089,-31.276994351542,-28.4898710388034,-141.970596770821,-155.991822963142,-205.591673656493,-110.073299584596,-92.8136740249033,-19.4465652817325,-42.3653298560307,-65.33815334576,-111.930779544639,-68.1696894780416,-28.2016273281491,-55.6952659135604,-64.1987762408385,-11.9987562224094,-10.3360127519156,-120.226667344495,-133.720992449103,-131.689091529443,-20.4445906357744,-57.9115848244696,-27.059841516867
"Alistipes onderdonkii","-1.37877015922959",-0.0949769031326468,-7.55896218998089,0,-4.03393005659086,-3.71955301118248,-49.5796018493683,-52.4546499377343,-74.7184555991504,-30.4636116033893,-24.5834456361134,-2.08535709223293,-9.29147201863998,-19.4061045905321,-30.4147926050226,-14.3586105996999,-3.94108107867146,-10.4322912099086,-15.4701914298751,-0.194098093324101,-0.0180203220594422,-34.6835606806367,-51.2845469077696,-53.8666607251047,-0.645328792469968,-9.88548198227306,-2.54413164525158
"Alistipes shahii","-1.37312336563264",-8.19659258211709,-31.276994351542,-4.03393005659086,0,-0.00267433695285035,-39.0511211022847,-42.7559555969081,-69.3420681475752,-18.8859911581449,-13.1577494601352,-0.169871443429088,-1.91782058807303,-9.13278643327521,-18.8481539751483,-4.47083007856872,-0.00688680091809601,-1.9955497892538,-5.59421292657635,-2.93550288003644,-7.63077230823001,-23.2630254519213,-40.3197742572763,-42.8004541471114,-3.00798303951865,-1.53872809758627,-0.318057554245343
"Odoribacter splanchnicus","-1.17447310980174",-7.36603633613868,-28.4898710388034,-3.71955301118248,-0.00267433695285035,0,-36.9930359339764,-40.2922007739141,-65.4233111902095,-17.7328130025485,-12.4160550656075,-0.137620858117884,-1.88940759924378,-8.80003163985407,-17.6623184685811,-4.25578609565082,-0.0137524835140539,-1.93323940866412,-5.36115780282648,-2.6486011202494,-6.79596814858041,-21.8377963442199,-38.52403772158,-41.0755101905343,-2.60300990641554,-1.49410647074342,-0.255929379490453
"Parabacteroides distasonis","-63.8850338649393",-84.8908110248062,-141.970596770821,-49.5796018493683,-39.0511211022847,-36.9930359339764,0,-0.00119264026989185,-3.25521088318033,-6.57170716683777,-9.56183270453062,-32.6670929732206,-18.6192596028284,-6.91005272163216,-7.17714665668882,-23.3561657875334,-33.162779696008,-29.5648076964874,-15.9211045922948,-54.4640450891986,-88.0538770586438,-4.18491011620017,-0.46827016642851,-1.32609418228219,-77.4859059801452,-36.3008592999404,-49.4424355248584
"Parabacteroides merdae","-71.4240181949212",-93.2242240088394,-155.991822963142,-52.4546499377343,-42.7559555969081,-40.2922007739141,-0.00119264026989185,0,-3.82886482678146,-7.30945101895554,-10.5825273301327,-34.8032928131285,-20.0085700840607,-7.36790527705807,-8.02688901092301,-26.2059458945478,-35.8740679196823,-33.0664699263998,-17.4600365253916,-58.6222677416031,-97.4994427552883,-4.61734121925565,-0.556751672316523,-1.50763937404395,-87.2019041756471,-41.2858377318248,-54.5401106958329
"Prevotella copri","-109.217637255932",-131.615094910304,-205.591673656493,-74.7184555991504,-69.3420681475752,-65.4233111902095,-3.25521088318033,-3.82886482678146,0,-22.6536557640093,-27.2643185213585,-54.7684088738674,-37.1671443177561,-18.8053508332932,-24.2862479502423,-51.2788186283906,-58.6805820439246,-60.1353827965597,-36.2948575858361,-85.7206670257467,-138.690840345312,-17.5587244864207,-0.77661387619537,-0.105708065663748,-129.945597971483,-73.6339791936571,-85.5045195367072
"Bacteroides fragilis","-37.5016522767025",-57.1593047420308,-110.073299584596,-30.4636116033893,-18.8859911581449,-17.7328130025485,-6.57170716683777,-7.30945101895554,-22.6536557640093,0,-0.471219900908409,-16.2425247368213,-5.79014226075037,-0.353263005509461,-0.00766709597792214,-6.56083122754171,-15.3722872524924,-10.7035236176996,-3.31854980129765,-32.7012637667942,-59.3367535499001,-0.323163610175698,-9.0244575749,-11.4088996095517,-48.8054469477531,-14.5282841905137,-26.493727320775
"Bacteroides cellulosilyticus","-27.7437644893766",-45.6897271186517,-92.8136740249033,-24.5834456361134,-13.1577494601352,-12.4160550656075,-9.56183270453062,-10.5825273301327,-27.2643185213585,-0.471219900908409,0,-11.9181844684384,-3.26061022654653,-0.000157633920935041,-0.383374889826428,-3.17671137166599,-10.692009741612,-6.18585361544274,-1.31836487656551,-25.619084793314,-46.9585019895026,-1.51081304731906,-12.0616698206368,-14.5658946820175,-36.8220513468077,-8.65514906268118,-19.152818607789
"Bacteroides stercoris","-0.294549290919122",-4.07009785650769,-19.4465652817325,-2.08535709223293,-0.169871443429088,-0.137620858117884,-32.6670929732206,-34.8032928131285,-54.7684088738674,-16.2425247368213,-11.9181844684384,0,-2.53016178887231,-9.10571247328494,-16.1097091036767,-4.78193871578185,-0.214040866834239,-2.58670940581203,-5.85158357244575,-1.23694198195039,-3.5738974431398,-19.6047609732027,-34.8355513223095,-37.500753682857,-0.963611115879644,-2.14612297939766,-0.00245379913019406
"Bacteroides uniformis","-6.42656694923676",-16.1355894672831,-42.3653298560307,-9.29147201863998,-1.91782058807303,-1.88940759924378,-18.6192596028284,-20.0085700840607,-37.1671443177561,-5.79014226075037,-3.26061022654653,-2.53016178887231,0,-2.34143693647866,-5.628117892462,-0.156779696377953,-1.5152936636116,-0.0477124221119993,-0.571073846686659,-8.22161248967541,-15.6550907155737,-8.08173009283155,-21.0789412520858,-23.689652391448,-9.48332028431025,-0.201741574488778,-3.74765523420945
"Bacteroides thetaiotaomicron","-18.2307423831624",-31.8560102426668,-65.33815334576,-19.4061045905321,-9.13278643327521,-8.80003163985407,-6.91005272163216,-7.36790527705807,-18.8053508332932,-0.353263005509461,-0.000157633920935041,-9.10571247328494,-2.34143693647866,0,-0.2892057257327,-1.96880883657354,-7.72961034372099,-3.94666668794684,-0.853181204239263,-19.0550199853271,-31.7976487569506,-1.07093745128918,-9.2224964136185,-11.4025357641507,-23.601670762765,-5.28114195382727,-13.0437266102724
"Bacteroides xylanisolvens","-37.9521479240698",-57.8449936663274,-111.930779544639,-30.4147926050226,-18.8481539751483,-17.6623184685811,-7.17714665668882,-8.02688901092301,-24.2862479502423,-0.00766709597792214,-0.383374889826428,-16.1097091036767,-5.628117892462,-0.2892057257327,0,-6.40834953137846,-15.2593149574193,-10.6001656677263,-3.16227937630151,-32.7686758459149,-60.1996266589774,-0.438606394036469,-9.65825112018183,-12.0940222572124,-49.6357620024869,-14.5311183230851,-26.6112469428899
"Bacteroides caccae","-13.326656529538",-28.1860034955694,-68.1696894780416,-14.3586105996999,-4.47083007856872,-4.25578609565082,-23.3561657875334,-26.2059458945478,-51.2788186283906,-6.56083122754171,-3.17671137166599,-4.78193871578185,-0.156779696377953,-1.96880883657354,-6.40834953137846,0,-3.45417289872057,-0.58214167019014,-0.223747365258305,-13.9723347771962,-28.5095492640955,-9.70289419025039,-25.2579441220028,-27.8992207412103,-19.4962052888991,-1.2322674884158,-7.99237534094823
"Bacteroides vulgatus","-1.36896849951358",-7.5653617684203,-28.2016273281491,-3.94108107867146,-0.00688680091809601,-0.0137524835140539,-33.162779696008,-35.8740679196823,-58.6805820439246,-15.3722872524924,-10.692009741612,-0.214040866834239,-1.5152936636116,-7.72961034372099,-15.2593149574193,-3.45417289872057,0,-1.47534208964555,-4.50283953458927,-2.8665033348874,-6.99629276613757,-19.0501453255094,-35.0463873928167,-37.6755393112001,-2.83147047970454,-1.0866494383481,-0.370654851588142
"Barnesiella intestinihominis","-8.09927607304917",-20.7015075050308,-55.6952659135604,-10.4322912099086,-1.9955497892538,-1.93323940866412,-29.5648076964874,-33.0664699263998,-60.1353827965597,-10.7035236176996,-6.18585361544274,-2.58670940581203,-0.0477124221119993,-3.94666668794684,-10.6001656677263,-0.58214167019014,-1.47534208964555,0,-1.3268835495594,-9.58453210793436,-20.5901705323874,-14.5264952815714,-31.0664426668754,-33.6224588903785,-12.6554524001754,-0.0793651475287334,-4.34627154705277
"Akkermansia muciniphila","-14.1152994985055",-28.0567134461905,-64.1987762408385,-15.4701914298751,-5.59421292657635,-5.36115780282648,-15.9211045922948,-17.4600365253916,-36.2948575858361,-3.31854980129765,-1.31836487656551,-5.85158357244575,-0.571073846686659,-0.853181204239263,-3.16227937630151,-0.223747365258305,-4.50283953458927,-1.3268835495594,0,-15.0082209639229,-28.1200173519098,-5.39114891451595,-18.3534772859471,-20.9809182561721,-19.6408467545743,-2.18297501223037,-9.10675490175413
