site id, 700038072c, 700100227c, 700110155, 700112812c, 700116778c, 700117766, 700161219, 700171190, 700172813
average pi, 0.00226265367052, 0.00596653739665, 0.000665667110985, 0.00702659197569, 0.00391644206458, 0.0073120922275, 0.00174189540682, 0.00416297727657, 0.00697626365739
num_sites, 1660411, 28859, 586937, 33342, 215225, 25970, 1288363, 1885268, 50996
aggregate_across_pi, 0.0256697603086, 0.0256697603086, 0.0256697603086, 0.0256697603086, 0.0256697603086, 0.0256697603086, 0.0256697603086, 0.0256697603086, 0.0256697603086
distributed_across_pi, 0.0211573878734, 0.0211573878734, 0.0211573878734, 0.0211573878734, 0.0211573878734, 0.0211573878734, 0.0211573878734, 0.0211573878734, 0.0211573878734
