site id, b'SRR7658589', b'SRR7658659', b'SRR8180446', b'SRR7658613', b'SRR7658630', b'SRR8784386', b'SRR8180447', b'SRR8784390', b'SRR8784370', b'SRR7658621', b'SRR7658580', b'SRR8784371', b'SRR8180448', b'SRR8784380', b'SRR7658581', b'SRR8784372', b'SRR7658623', b'SRR8180449', b'SRR7658635', b'SRR7658582', b'SRR8784360', b'SRR8180450', b'SRR8784353', b'SRR8784355', b'SRR7658597', b'SRR8784395', b'SRR7658656', b'SRR8784383', b'SRR8784397', b'SRR8784362', b'SRR8784377', b'SRR8784363', b'SRR8784364', b'SRR7658586'
average pi, 0.012111779896587158, 0.014900643648952537, 0.019381511501320472, 0.011961416580018256, 0.013749764105239324, 0.020565646307570733, 0.013040422516587206, 0.02026388566289298, 0.022383914630700785, 0.008632098362765453, 0.009214256015943483, 0.012395264841262809, 0.01384828961353503, 0.01633527229829693, 0.02067167979650272, 0.003615878462576685, 0.015927338652670694, 0.019852134308404445, 0.011113535136289978, 0.005653508687958984, 0.012364140435946757, 0.0175233506659001, 0.02190396093671778, 0.007033339582495687, 0.0023739475058165626, 0.02144451060564353, 0.011733383474311439, 0.010656335886010318, 0.0116381079389733, 0.018874943437312646, 0.014653448606007145, 0.01780703938903244, 0.011959993407881946, 0.015599787180416996
num_sites, 33397, 39105, 103154, 58816, 18560, 56098, 134307, 31688, 34913, 141694, 97605, 56451, 604359, 27238, 75353, 1375648, 146780, 74382, 105487, 319148, 490923, 148172, 57309, 173113, 1399273, 38921, 48108, 482587, 82873, 26019, 108255, 99446, 149558, 71015
aggregate_across_pi, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923, 0.030601076577309923
distributed_across_pi, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476, 0.0372263868834476
