site id, b'SRR7658661', b'SRR7658675', b'SRR8784392', b'SRR7658606', b'SRR8784381', b'SRR7658655', b'SRR7658646', b'SRR7658584', b'SRR7658628', b'SRR7658585'
average pi, 0.00035690502993675286, 0.012230536574133512, 0.0014479305097324243, 0.00031773482713279267, 0.000899404391613238, 0.0003031795421641512, 0.0016267737995982613, 0.005605941316050252, 0.00035002855111713837, 0.002753468276892323
num_sites, 1238989, 7260, 1621520, 1611873, 82888, 1514078, 639561, 2097, 1460211, 88826
aggregate_across_pi, 0.0069276061761994875, 0.0069276061761994875, 0.0069276061761994875, 0.0069276061761994875, 0.0069276061761994875, 0.0069276061761994875, 0.0069276061761994875, 0.0069276061761994875, 0.0069276061761994875, 0.0069276061761994875
distributed_across_pi, 0.008365222106356191, 0.008365222106356191, 0.008365222106356191, 0.008365222106356191, 0.008365222106356191, 0.008365222106356191, 0.008365222106356191, 0.008365222106356191, 0.008365222106356191, 0.008365222106356191
