site id, b'SRR7658603', b'SRR8784393', b'SRR7658625', b'SRR7658588'
average pi, 0.014676116558037914, 0.008713464153019611, 0.017433258389778074, 0.01441109118465186
num_sites, 231979, 174843, 81558, 90033
aggregate_across_pi, 0.03461325670241263, 0.03461325670241263, 0.03461325670241263, 0.03461325670241263
distributed_across_pi, 0.03520201180125996, 0.03520201180125996, 0.03520201180125996, 0.03520201180125996
