2       , -253.38     , array([ 4.36061    ,  89.5448    ])
4       , -253.38     , array([ 1.88496    ,  154.603    ])
6       , -253.38     , array([ 1.88496    ,  154.758    ])
8       , -253.38     , array([ 0.0661446  ,  1373.83    ])
