site id, SRR8784358, SRR8784379, SRR8784360, SRR8784394, SRR8784383, SRR8784396, SRR8784366
average pi, 0.0033109761897737564, 0.009421048261596666, 0.004016272810701975, 0.0007138459923593047, 0.003264587462342562, 0.008680500124169268, 0.0028844257319057555
num_sites, 102389, 47518, 64847, 2449720, 213210, 37138, 100015
