site id, SRR7658649, SRR7658682, SRR7658685, SRR7658650, SRR7658662, SRR7658646
average pi, 0.000628396962573, 0.00677623378083, 0.00018780690654, 0.000798225237534, 0.000193466064508, 0.000375366098128
num_sites, 992569, 5358, 8535, 42029, 36564, 1553643
aggregate_across_pi, 0.019713562314, 0.019713562314, 0.019713562314, 0.019713562314, 0.019713562314, 0.019713562314
distributed_across_pi, 0.01817234747, 0.01817234747, 0.01817234747, 0.01817234747, 0.01817234747, 0.01817234747
