site id, 700013715, 700033797, 700034254, 700037539c, 700038072c, 700098267, 700108095c, 700114125, 700116148, 700116778c, 700117992, 700164159c, 700165634, 700171190, 700171324, 700172498c
average pi, 0.00425861067597, 0.00129888875839, 0.000714775383534, 0.0128065749873, 0.00646683400315, 0.000929903860212, 0.00424570477345, 0.00592500288868, 0.0173811479315, 0.0168185286891, 0.00115379840078, 0.00542411955055, 0.00158968013079, 0.00910075693124, 0.00428735081651, 0.0146914575801
num_sites, 15567, 264552, 1912591, 2096, 4423, 6431, 930394, 631, 340, 267, 3614, 11921, 260331, 1326098, 1341603, 811
across_species_pi, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692, 0.000247852767692
