"Species","One epoch, log likelihood","One epoch, AIC","Two epoch, log likelihood","Two epoch, AIC","Two epoch, nu","Two epoch, tau","Two epoch, time in years","Three epoch, log likelihood","Three epoch, AIC","Three epoch, nu (bottleneck)","Three epoch, nu (contemporary)","Three epoch, tau (bottleneck)","Three epoch, tau (contemporary","Three epoch, time in years"
"Bacteroidales bacterium",-102.359813274329,206.719626548658,-40.8895457192671,85.7790914385341,0.62746616,0.136058,3621.81374720238,-40.4479350145452,88.8958700290905,0.41052325,0.95329267,0.04484037,0.01444436,1560.18718870218
"Alistipes putredinis",-695.563291056232,1393.12658211246,-33.2459764616502,70.4919529233005,5.03047242,1.47214213,12977.7289738344,-70.9748522997271,149.949704599454,3.357,0.7725,0.8615,0.001956,10541.7134129955
"Alistipes finegoldii",-252.11421514039,506.22843028078,-40.6435841785624,85.2871683571248,0.2278674,0.401076,34091.9186895715,-40.8300508454058,89.6601016908116,0.83986998,0.38082138,0.00766527,0.40109844,20992.2201869392
"Alistipes onderdonkii",-674.451539335421,1350.90307867084,-35.7530577321722,75.5061154643445,0.1702887,0.2238585,21091.0230275356,-34.5108416923122,77.0216833846243,0.0085012,0.03447249,0.02207319,0.00976073,16676.1702284694
"Alistipes shahii",-53.9420982114962,109.884196422992,-34.1614271174508,72.3228542349016,2142.914,0.01883415,373.167855257095,-34.2579611098508,76.5159222197017,16.8106896,16.9739153,0.00987595477,0.0106851389,407.363345090611
"Odoribacter splanchnicus",-31.6791032221356,65.3582064442712,-30.953642541936,65.907285083872,0.88191563,1.19597271,17551.4052000308,-30.8070228999761,69.6140457999522,0.74771145,1.16721839,0.07135565,0.04700593,1609.16935448775
"Parabacteroides distasonis",-56.1669797309914,114.333959461983,-42.2900302296966,88.5800604593933,0.87930973,0.29828882,16257.5855400353,-40.8956840170722,89.7913680341444,0.42029526,1.05936946,0.02598408,0.0730162,64150.0136771813
"Parabacteroides merdae",-77.2120544219661,156.424108843932,-35.4174530795408,74.8349061590816,0.1503162,0.501013,82442.6543624639,-35.4176762811621,78.8353525623243,0.00385987,0.00520178,0.01666938,0.01269386,139662.878569543
"Prevotella copri",-1600.84762789171,3203.69525578342,-177.216643243471,358.433286486941,3.3056753,0.3307203,22926.314031552,-177.597561853763,363.195123707526,0.488309419,3.29660024,0.00152682627,0.346767307,23937.4626083059
"Bacteroides fragilis",-549.342022036418,1100.68404407284,-33.7022491801199,71.4044983602398,3.6028002,0.1824545,3888.64154198895,-33.887071050066,75.7741421001319,0.89310154,3.81869648,0.01172636,0.17256823,3951.08803230489
