"species","accessory_one_epoch_likelihood","accessory_one_epoch_AIC","accessory_two_epoch_likelihood","accessory_two_epoch_AIC","accessory_two_epoch_nu","accessory_two_epoch_tau","accessory_two_epoch_time","accessory_three_epoch_likelihood","accessory_three_epoch_AIC","accessory_three_epoch_nu_bottleneck","accessory_three_epoch_nu_contemporary","accessory_three_epoch_tau_bottleneck","accessory_three_epoch_tau_contemporary","accessory_three_epoch_time_total"
"Parabacteroides distasonis",-38.8311260388061,79.6622520776123,-27.4434288417841,58.8868576835682,0.62780136,0.132541,3982.33846473328,-27.5443978098115,63.0887956196229,0.31911808,0.5519995,0.003109,0.05909853,922.625359398763
"Bacteroides uniformis",-36.5344385950031,75.0688771900061,-26.874922483389,57.7498449667779,0.45802074,0.03636818,823.017486289058,-26.8773084328125,61.7546168656249,0.77816908,0.48650412,0.00716471,0.04064893,901.431440680839
"Bacteroides thetaiotaomicron",-43.94567467206,89.89134934412,-34.9082442663159,73.8164885326319,0.02270004,0.00051114,12.0035763213439,-34.9822980029804,77.9645960059609,2.38249053,2,3.79039562,1,1505.56416758809
"Bacteroides vulgatus",-32.046780363646,66.0935607272919,-27.4971424609594,58.9942849219187,2.01062554,2.26927451,24602.5766156504,-27.5018479368418,63.0036958736836,0.00242701,0.00559931,0.01856696,0.00640048,121243.443517569
"Barnesiella intestinihominis",-31.2290816732143,64.4581633464286,-24.6811847430694,53.3623694861388,0.62943934,0.16358388,4092.73257599823,-24.681228280063,57.362456560126,0.73326799,0.62802295,0.01067518,0.15477494,496.504623072087
"Eubacterium rectale",-50.0227087508044,102.045417501609,-29.4965265146764,62.9930530293527,0.49460572,0.04590381,2425.24667832721,-29.5038149013428,67.0076298026856,0.69774676,0.45450518,0.0111697,0.0335716,1831.24494330577
"Faecalibacterium prausnitzii",-127.235982968212,256.471965936424,-27.9636706822236,59.9273413644471,0.00416683,0.00061239,36.9903398191284,-28.2761710963342,64.5523421926684,0.04513877,0.05480909,0.00410616,0.0039278,1198.09640991809
