"Species","Core, Nu","Core, Years","Core, N_anc","Accessory, Nu","Accessory, Years","Accessory, N_Anc"
"Bacteroidales bacterium",0.62746616,3621.81374720238,4858082.64757996,0.10277344,10615.5723108448,12639075.0712653
"Alistipes putredinis",5.03047242,12977.7289738344,1608836.19146527,1.53099574,18129.2462578027,1866576.04551066
"Alistipes finegoldii",0.2278674,34091.9186895715,15512708.7156718,0.04336966,100.50955136119,3943254.16369297
"Alistipes onderdonkii",0.1702887,21091.0230275356,17194396.0248337,0.14248777,13592.0042582709,12529901.1774754
"Alistipes shahii",2142.914,373.167855257095,3615938.79120745,1.80539745,3.60882475193239,3542987.61650202
"Odoribacter splanchnicus",0.88191563,17551.4052000308,2678264.6645889,0.000685909308,0.902035481810358,2898817.25442748
"Parabacteroides distasonis",0.87930973,16257.5855400353,9946766.89879441,0.62780136,3982.33846473328,5483410.94313324
"Parabacteroides merdae",0.1503162,82442.6543624639,30030726.5902275,0.000859896969,0.241751620167543,3896973.45291354
"Prevotella copri",3.3056753,22926.314031552,12651331.9888686,0.000498554151,5.88065391495685,16114058.4315593
"Bacteroides fragilis",3.6028002,3888.64154198895,3889611.28069181,8.43897538,0.128714504074485,5535886.22101602
"Bacteroides cellulosilyticus",2.390996,39520.4310551638,4890754.4075015,0.00283840127,1.89499697935164,5823320.97956919
"Bacteroides stercoris",9.386655,98644.8353685385,1340127.14681565,0.00121413817,2.26227086770098,7524301.98706923
"Bacteroides uniformis",5.481917,29328.3103022559,674882.557908626,0.45802074,823.017486289058,4130002.96544268
"Bacteroides thetaiotaomicron",0.270237,124238.251903943,29071468.7690854,0.02270004,12.0035763213439,4285817.34680373
"Bacteroides xylanisolvens",0.7597557,8641.26191774441,7930282.73900948,0.000217017622,0.11004105198443,5662271.26512913
"Bacteroides caccae",1.75093668,1177.71048993186,3136415.16613676,4.33174377,0.0582833911368237,3794154.92523996
"Bacteroides vulgatus",2602.978,217.048834649592,3251631.90011751,2.01062554,24602.5766156504,1978592.81130171
"Barnesiella intestinihominis",0.49893253,2540.8383057398,10955739.5418492,0.62943934,4092.73257599823,4565998.16020794
"Akkermansia muciniphila",0.4291101,9736.30811914633,11153142.1898351,0.00091131,26.7817567403683,10563368.5003614
"Dialister invisus",1440.642,1432.51506659391,12708213.3114293,0.00117628739,5.4578569771163,11714482.4976649
"Phascolarctobacterium species",2.904182,6659.52814296335,4615399.37299038,8.30615757,0.0130756528218787,3771080.67620161
"Eubacterium eligens",2.562912,144557.709513269,3941318.94786913,4.96318588,0.519967742856532,7794823.46691977
"Eubacterium rectale",1.6264469,40125.2279296387,12720410.4679427,0.49460572,2425.24667832721,9642064.97880492
"Oscillibacter species",593.661335,1567.71687613307,7615745.57853188,0.00105547455,5.87138505806375,11349030.7726849
"Ruminococcus bromii",2.5349463,33864.4611538683,8563063.24061922,0.000583226315,1.84617188452873,7201331.10465253
"Ruminococcus bicirculans",15.56247,119681.976129304,1832572.96019529,0.00186003362,2.08456781764662,9623202.94179565
"Faecalibacterium prausnitzii",0.72112499,2447.15144411712,16622028.0855959,0.00416683,36.9903398191284,11023591.2033033
