"","one_epoch","two_epoch","three_epoch","delta_AIC"
"Akkermansia_muciniphila_55290",853.765522147551,74.7051994444046,79.5366180227938,4.83141857838928
"Alistipes_finegoldii_56071",506.22843028078,85.2871683571248,89.6601017834946,4.37293342636985
"Alistipes_onderdonkii_55464",1350.90307867084,75.5061154643445,77.0216824767376,1.51556701239315
"Alistipes_putredinis_61533",1393.12658211246,70.4919529228962,149.949704599454,79.457751676558
"Alistipes_shahii_62199",109.884196422992,72.3228542349016,76.5159222194079,4.19306798450634
"Bacteroidales_bacterium_58650",206.719626548658,85.7790914389625,88.8958700290905,3.11677859012798
"Bacteroides_caccae_53434",121.807552573134,68.9093540673284,72.9201425566871,4.01078848935867
"Bacteroides_cellulosilyticus_58046",864.203651244245,74.1222771124794,78.1514760610571,4.02919894857769
"Bacteroides_fragilis_54507",1100.68404407284,71.4044983602398,75.7741423299067,4.36964396966687
"Bacteroides_ovatus_58035",171.423512938914,133.830972627513,138.67029542886,4.83932280134673
"Bacteroides_stercoris_56735",407.956145892573,113.205551386209,118.532027263725,5.32647587751671
"Bacteroides_thetaiotaomicron_56941",222.555359066235,121.321094579918,125.400348056133,4.07925347621494
"Bacteroides_uniformis_57318",130.813666851045,65.3162629497215,69.6091892418167,4.29292629209522
"Bacteroides_vulgatus_57955",80.8094003410479,69.8638077866108,73.8926113218286,4.02880353521778
"Bacteroides_xylanisolvens_57185",130.681754268988,70.6678628221016,74.7061752764566,4.03831245435504
"Barnesiella_intestinihominis_62208",301.646264148018,91.6205143226034,94.901325904375,3.28081158177156
"Dialister_invisus_61905",164.841592705479,81.6092230399008,85.9686074840065,4.35938444410567
"Eubacterium_eligens_61678",74.4099275541275,71.1653028941128,75.5109595818603,3.24462466001478
"Eubacterium_rectale_56927",526.880709894889,74.7444089502314,81.3902260476989,6.64581709746744
"Faecalibacterium_prausnitzii_57453",99.7680524919961,77.0921791725887,81.0773403107887,3.98516113820006
"Odoribacter_splanchnicus_62174",65.3582064442712,65.9072850857651,69.6140457999522,0.549078641493907
"Oscillibacter_sp_60799",293.901978175569,85.1332705665191,90.9139905403081,5.78071997378902
"Parabacteroides_distasonis_56985",114.333959461983,88.5800604560463,89.7913680341444,1.21130757809806
"Parabacteroides_merdae_56972",156.424108843932,74.8349061590816,78.8353551044493,4.00044894536768
"Phascolarctobacterium_sp_59817",732.129325609942,74.0055178232524,77.6924556817603,3.68693785850792
"Prevotella_copri_61740",3203.69525578342,358.433286486941,363.195123717405,4.76183723046415
"Ruminococcus_bicirculans_59300",3017.40676331633,76.0949885439768,82.230955280078,6.13596673610118
"Ruminococcus_bromii_62047",1389.48969542223,72.3032733557939,76.712122053681,4.40884869788715
