,One Epoch,Two Epoch,,,Three Epoch,,,,,Best Demography,Gamma DFE,,,,,Neugamma DFE,,,,,
Species,Likelihood,Nu,Tau,Likelihood,Nu_b,Nu_f,T_b,T_f,Likelihood,Number of Epochs,Shape,Scale (Dadi),Scale (High),Scale (low),Likelihood,Pneu,Shape,Scale (Dadi),Scale (High),Scale (Low),Likelihood
B. intestinihominis (Complete),-1.67E+02,5.24E-01,5.20E-02,-4.32E+01,1.40E+00,4.22E-01,6.60E-09,3.09E-02,-4.34E+01,Two Epoch,2.44E-01,1.18E+03,5.88E-05,3.46E-05,-4.81E+01,7.18E-02,3.27E-01,5.86E+02,2.92E-05,1.72E-05,-5.09E+01
D. invisus (Complete),-5.87E+01,9.01E+01,8.99E-03,-4.90E+01,4.74E+02,3.42E+07,8.43E-03,1.57E-04,-4.90E+01,Three Epoch,9.47E-01,9.35E+06,4.11E-01,2.42E-01,-3.52E+02,3.28E-01,6.51E+00,1.56E+04,6.86E-04,4.04E-04,-3.52E+02
E. eligens (Complete),-3.50E+01,9.61E-01,3.60E-01,-3.41E+01,8.18E-01,2.40E+00,1.50E-02,3.68E-09,-3.43E+01,Two Epoch,1.15E-01,4.87E+06,2.76E-01,1.63E-01,-3.27E+01,1.93E-01,9.91E-01,3.32E+02,1.88E-05,1.11E-05,-3.18E+01
E. rectale (Complete),-1.20E+02,1.69E+00,1.75E+00,-3.64E+01,1.96E+00,6.90E-01,2.64E+00,2.62E-09,-3.72E+01,Two Epoch,1.52E-01,7.02E+04,4.00E-03,2.36E-03,-3.58E+01,1.47E-01,3.99E-01,1.36E+03,7.74E-05,4.56E-05,-3.50E+01
F. prausnitzii (Complete),-9.62E+01,6.69E-01,5.03E-02,-3.73E+01,7.04E-01,5.91E-01,1.31E-02,2.33E-02,-3.73E+01,Two Epoch,1.56E-01,2.14E+06,7.31E-02,4.30E-02,-3.44E+01,7.21E-02,2.94E-01,4.68E+04,1.60E-03,9.39E-04,-3.57E+01
O. splanchnicus (Complete),-5.35E+01,7.48E-01,3.78E-01,-3.20E+01,6.62E-01,1.69E+00,6.80E-01,1.13E-08,-3.21E+01,Two Epoch,1.19E-01,3.90E+04,7.15E-03,4.21E-03,-3.13E+01,1.36E-01,1.70E-01,1.79E+04,3.27E-03,1.93E-03,-3.16E+01
Oscillibacter sp. (Complete),-7.95E+01,1.54E+00,4.62E-02,-5.84E+01,2.23E+00,1.37E+00,3.39E-02,6.32E-07,-5.62E+01,Three Epoch,1.32E-01,1.68E+06,1.11E-01,6.54E-02,-5.09E+01,1.73E-01,6.18E+00,1.34E+01,8.85E-07,5.21E-07,-3.40E+01
P. distasonis (Complete),-6.61E+01,8.49E-01,1.53E-01,-4.24E+01,8.61E-05,9.36E-06,3.46E-07,6.45E-08,-4.73E+01,Two Epoch,2.26E-01,3.75E+03,2.24E-04,1.32E-04,-3.57E+01,1.64E-01,6.97E-01,2.30E+02,1.37E-05,8.07E-06,-3.59E+01
P. merdae (Complete),-8.29E+01,6.72E-01,6.00E-01,-3.50E+01,1.59E-07,7.59E-07,2.15E-06,1.16E-06,-3.54E+01,Two Epoch,2.31E-01,2.30E+03,1.84E-04,1.09E-04,-3.37E+01,2.04E-01,9.88E-01,1.11E+02,8.87E-06,5.23E-06,-3.51E+01
Phascolarcto. sp. (Complete),-2.92E+02,2.61E+00,1.91E-01,-3.89E+01,4.30E+00,2.63E+00,3.50E-03,1.77E-01,-3.90E+01,Two Epoch,2.68E-01,9.28E+02,9.73E-05,5.73E-05,-3.76E+01,1.63E-01,7.74E-01,9.90E+01,1.04E-05,6.11E-06,-3.99E+01
P. copri (Complete),-1.04E+03,4.80E+00,1.11E-01,-2.03E+02,6.89E+00,2.91E+00,9.53E-02,8.88E-03,-2.04E+02,Two Epoch,7.90E-02,2.19E+09,8.20E+01,4.83E+01,-3.02E+02,2.09E-01,6.35E+00,1.96E+01,7.35E-07,4.33E-07,-2.75E+02
R. bicirculans (Complete),-1.29E+03,3.39E+00,1.84E+00,-4.18E+01,5.25E+00,1.97E+00,3.65E+00,2.62E-07,-3.99E+01,Three Epoch,1.61E-01,3.42E+04,2.38E-03,1.40E-03,-3.45E+01,1.62E-01,5.11E-01,4.80E+02,3.35E-05,1.97E-05,-3.44E+01
R. bromii (Complete),-5.27E+02,2.14E+00,6.51E-01,-3.52E+01,1.07E+11,2.11E+09,6.04E-02,2.58E-04,-1.71E+02,Two Epoch,9.35E-02,2.43E+07,1.49E+00,8.76E-01,-3.37E+01,2.25E-01,9.88E-01,2.67E+02,1.63E-05,9.62E-06,-3.25E+01
