species, nu_b, nu_f, time_b_low, time_b_high, time_f_low, time_f_high, time_total_low,time_total_high
Alistipes putredinis,3.36E+00,7.73E-01,3.02E+05,5.12E+05,6.85E+02,1.16E+03,3.02E+05,5.13E+05
Bacteroidales bacterium,4.11E-01,9.53E-01,3.10E+04,5.26E+04,9.98E+03,1.70E+04,4.10E+04,6.96E+04
Barnesiella intestinihominis,3.95E-01,1.00E+00,1.98E+04,3.36E+04,6.10E+03,1.04E+04,2.59E+04,4.40E+04
Faecalibacterium prausnitzii,4.59E-01,8.17E-01,4.21E+03,7.16E+03,6.84E+03,1.16E+04,1.11E+04,1.88E+04
Odoribacter splanchnicus,7.48E-01,1.17E+00,4.53E+04,7.70E+04,2.98E+04,5.07E+04,7.52E+04,1.28E+05
Parabacteroides distasonis,4.20E-01,1.06E+00,1.68E+04,2.86E+04,4.73E+04,8.04E+04,6.42E+04,1.09E+05
