"Species","LRT Statistic, 2N_Anc*s","LRT Statistic, s"
"Parabacteroides distasonis",-13.1848359538028,-0.832107012004542
"Bacteroides uniformis",-0.118178645349474,-0.581084059589841
"Bacteroides thetaiotaomicron",-13.8051426816216,-1.02071262112793
"Bacteroides vulgatus",-26.2371722961471,-15.6087639673738
"Barnesiella intestinihominis",-10.1367771270814,-2.53358624036082e-06
"Eubacterium rectale",-0.00899666253667419,-3.97180371191439
"Faecalibacterium prausnitzii",-5.44768810457799,-3.37572177867651
