site id, b'SRR8784388', b'SRR8784359', b'SRR8784372', b'SRR8784360', b'SRR7658645', b'SRR8784394', b'SRR8784361', b'SRR8784375', b'SRR8784357', b'SRR8784384', b'SRR8784385', b'SRR8784367'
average pi, 0.004421866842744412, 0.0008978867685030957, 0.0010951124098184674, 0.001941939177803751, 0.0049848524196037585, 0.0013257062462830533, 0.001099809488257645, 0.000901613923158202, 0.0007064780943838426, 0.0014447367406604267, 0.0009698115673279534, 0.0010400919815724996
num_sites, 41630, 1547984, 1977515, 12052, 3097, 13545, 1995832, 2047847, 2016072, 1009761, 2007943, 1965704
aggregate_across_pi, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847, 0.01816428323460847
distributed_across_pi, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055, 0.0180125192005055
