site id, SRR7658579, SRR7658589, SRR7658619, SRR7658659, SRR7658669, SRR7658689, SRR8180446, SRR8784358, SRR8784368, SRR8784378, SRR7658681, SRR7658684, SRR8784389, SRR7658630, SRR8784369, SRR8784386, SRR7658686, SRR7658601, SRR8784379, SRR7658602, SRR8784390, SRR8784370, SRR7658580, SRR7658632, SRR8784391, SRR8784371, SRR8180448, SRR7658604, SRR8784380, SRR7658642, SRR8784392, SRR7658581, SRR7658592, SRR7658623, SRR8180449, SRR7658635, SRR8784381, SRR7658652, SRR7658582, SRR7658607, SRR7658644, SRR7658624, SRR8784360, SRR7658608, SRR7658666, SRR8180450, SRR7658636, SRR8784382, SRR7658654, SRR7658638, SRR8784393, SRR7658595, SRR8784353, SRR7658637, SRR7658625, SRR8784354, SRR8784394, SRR8784374, SRR7658597, SRR8784395, SRR7658598, SRR7658656, SRR8784383, SRR8784396, SRR8784376, SRR8784362, SRR7658658, SRR8784377, SRR8784363, SRR8784364, SRR7658586, SRR7658588, SRR8784387, SRR8784365
average pi, 0.00233696469103, 0.0113811912757, 0.0160076907209, 0.0146679707349, 0.0178732984329, 0.016045325228, 0.0247180999696, 0.0205197041503, 0.0208585219873, 0.0213488614596, 0.00631058517899, 0.00973141596085, 0.0130746123227, 0.015016663288, 0.0212932172386, 0.025831529856, 0.0149277348386, 0.018698305927, 0.0182450697779, 0.0194465400172, 0.0225822075002, 0.0266208830328, 0.0142220898296, 0.0151373806311, 0.0225114193407, 0.014661911385, 0.0262726169705, 0.0229911958363, 0.0136339484087, 0.0170862910143, 0.022148864603, 0.0249540452798, 0.0183789410837, 0.0186461676323, 0.0222910615963, 0.0198868529574, 0.0183758230279, 0.00243480468008, 0.0141023741341, 0.0235993391342, 0.0238669473908, 0.0188623346756, 0.0195356482477, 0.0160187451347, 0.0158554398784, 0.0216735127515, 0.00894055823469, 0.0166297775324, 0.018330095651, 0.0174570564131, 0.0219037357415, 0.0173638911232, 0.0220891454468, 0.0215699547219, 0.0182810031492, 0.0259949428293, 0.00226173524466, 0.0220606801224, 0.0153573168945, 0.0258218396459, 0.0160264410716, 0.0159783514353, 0.0217444570146, 0.0177740403201, 0.0256818111876, 0.0239261902915, 0.0220194114585, 0.0240923443586, 0.0214912392924, 0.0209118724041, 0.0150116620196, 0.00826994218022, 0.0248797535249, 0.00665138531749
num_sites, 1983908, 398733, 160820, 449024, 86924, 296671, 1772801, 349041, 813992, 128450, 119240, 6732, 773062, 30563, 1036121, 1656474, 63568, 107869, 1794791, 57356, 195878, 1456942, 1443981, 697977, 317255, 1409739, 1751192, 191157, 1137383, 1038562, 53917, 785446, 61248, 333086, 1421663, 1524210, 304838, 1285237, 1693986, 1269823, 703001, 64731, 1600331, 59033, 1198992, 388033, 127661, 471547, 179936, 16074, 1172295, 1653506, 867994, 289486, 27169, 189537, 850822, 1620875, 923841, 1382056, 892344, 1120285, 1851399, 1787442, 1181600, 561444, 263706, 973237, 1806267, 1366831, 185097, 1877119, 1341763, 623058
across_species_pi, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382, 0.000249761136382
