site id, b'SRR8784374', b'SRR7658626', b'SRR8784367'
average pi, 0.0008105362013123892, 0.0017732211401197556, 0.005769587042983185
num_sites, 221997, 19583, 6753
aggregate_across_pi, 0.03659153415275619, 0.03659153415275619, 0.03659153415275619
distributed_across_pi, 0.03397005419073181, 0.03397005419073181, 0.03397005419073181
