site id, b'SRR7658619', b'SRR8180447', b'SRR7658603', b'SRR7658581', b'SRR8784372', b'SRR7658638', b'SRR7658655', b'SRR8784393', b'SRR8784355', b'SRR7658597', b'SRR8784375', b'SRR8784397', b'SRR7658584', b'SRR8784367', b'SRR8784366'
average pi, 0.015525037802344483, 0.007180808512282267, 0.009569848572612474, 0.013761650687685301, 0.005601379456181879, 0.016651621536815448, 0.012809563957735907, 0.01026789838418993, 0.002026133471825551, 0.014109118276390241, 0.0008651946795358364, 0.011918128772570511, 0.01579809751524833, 0.0072642662140162025, 0.004136770260830839
num_sites, 143617, 244959, 786736, 78736, 124731, 75464, 97007, 119863, 2335789, 36397, 1988950, 288550, 75846, 125855, 1165816
aggregate_across_pi, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768, 0.0321662484068768
distributed_across_pi, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173, 0.031007065971859173
