species_id, LL, model, Theta, Nu, N_a, N_e, T, T_scaled, T_gen
Akkermansia_muciniphila_55290,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Akkermansia_muciniphila_55290,,two_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Akkermansia_muciniphila_55290,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Akkermansia_muciniphila_55290,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Akkermansia_muciniphila_55290,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Alistipes_finegoldii_56071,-253.3798636,one_epoch,6001.061097,N/A,N/A,N/A,N/A,N/A,N/A
Alistipes_finegoldii_56071,-253.3798309,two_epoch,6001.061158,1.14E-01,1.31E+13,1.50E+12,1.99E-06,5.22E+07,4.94E+04
Alistipes_finegoldii_56071,-54.12722245,exponential,8043.529781,0.00151471,1.33E+15,2.01E+12,5.23E-04,1.39E+12,1.31E+09
Alistipes_finegoldii_56071,-253.3798467,bottledecay,6001.061128,9.56E-02,1.57E+13,1.50E+12,1.02E-06,3.19E+07,3.01E+04
Alistipes_finegoldii_56071,-253.3798363,three_epoch,6001.061148,1.64E-01,9.14E+12,1.50E+12,6.52E-07,1.19E+07,1.13E+04
Alistipes_onderdonkii_55464,-262.5735939,one_epoch,6517.686228,N/A,N/A,N/A,N/A,N/A,N/A
Alistipes_onderdonkii_55464,-262.5735889,two_epoch,6517.686237,2.06E-01,7.92E+12,1.63E+12,1.40E-06,2.21E+07,2.09E+04
Alistipes_onderdonkii_55464,-51.11724285,exponential,8690.072141,0.00266546,8.15E+14,2.17E+12,9.03E-04,1.47E+12,1.39E+09
Alistipes_onderdonkii_55464,-262.5735726,bottledecay,6517.686266,1.31E-01,1.24E+13,1.63E+12,1.69E-06,4.20E+07,3.98E+04
Alistipes_onderdonkii_55464,-262.5735793,three_epoch,6517.686254,1.17E-01,1.40E+13,1.63E+12,6.85E-07,1.91E+07,1.81E+04
Alistipes_putredinis_61533,-639.0399951,one_epoch,2207.675542,N/A,N/A,N/A,N/A,N/A,N/A
Alistipes_putredinis_61533,-639.0399951,two_epoch,2207.675542,5.87E+00,9.41E+10,5.52E+11,1.99E-06,3.74E+05,3.54E+02
Alistipes_putredinis_61533,-639.0399814,exponential,2207.675534,1.68E+00,3.28E+11,5.52E+11,1.98E-05,1.30E+07,1.23E+04
Alistipes_putredinis_61533,-639.039995,bottledecay,2207.675542,3.32E+00,1.66E+11,5.52E+11,1.80E-06,5.99E+05,5.67E+02
Alistipes_putredinis_61533,-639.0399949,three_epoch,2207.675542,1.56E+00,3.55E+11,5.52E+11,1.74E-06,1.23E+06,1.16E+03
Alistipes_shahii_62199,-39.64730206,one_epoch,3702.490546,N/A,N/A,N/A,N/A,N/A,N/A
Alistipes_shahii_62199,-39.64730206,two_epoch,3702.490545,2.22E+00,4.16E+11,9.26E+11,1.87E-06,1.56E+06,1.47E+03
Alistipes_shahii_62199,-39.64730204,exponential,3702.490538,1.73E+00,5.34E+11,9.26E+11,1.49E-05,1.59E+07,1.51E+04
Alistipes_shahii_62199,-39.64730206,bottledecay,3702.490546,9.84E+00,9.40E+10,9.26E+11,1.79E-06,3.37E+05,3.18E+02
Alistipes_shahii_62199,-39.64730206,three_epoch,3702.490545,2.08E+00,4.46E+11,9.26E+11,1.83E-06,1.63E+06,1.54E+03
Bacteroidales_bacterium_58650,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroidales_bacterium_58650,,two_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroidales_bacterium_58650,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroidales_bacterium_58650,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroidales_bacterium_58650,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_caccae_53434,-40.63965337,one_epoch,4164.801467,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_caccae_53434,-40.63965337,two_epoch,4164.801466,5.93E+00,1.76E+11,1.04E+12,1.85E-06,6.49E+05,6.14E+02
Bacteroides_caccae_53434,-40.63965308,exponential,4164.801457,1.85E+00,5.61E+11,1.04E+12,1.60E-05,1.80E+07,1.70E+04
Bacteroides_caccae_53434,-40.63965337,bottledecay,4164.801466,1.02E+00,1.02E+12,1.04E+12,1.93E-06,3.92E+06,3.71E+03
Bacteroides_caccae_53434,-40.63965336,three_epoch,4164.801466,1.95E+00,5.33E+11,1.04E+12,1.65E-06,1.76E+06,1.67E+03
Bacteroides_cellulosilyticus_58046,-369.1600504,one_epoch,8495.237181,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_cellulosilyticus_58046,-369.1600503,two_epoch,8495.237181,5.42E+00,3.92E+11,2.12E+12,1.88E-06,1.48E+06,1.40E+03
Bacteroides_cellulosilyticus_58046,-369.1600322,exponential,8495.237152,2.09E+00,1.02E+12,2.12E+12,1.89E-05,3.84E+07,3.63E+04
Bacteroides_cellulosilyticus_58046,-369.1600503,bottledecay,8495.237181,1.50E+00,1.42E+12,2.12E+12,1.62E-06,4.60E+06,4.35E+03
Bacteroides_cellulosilyticus_58046,-369.16005,three_epoch,8495.23718,1.87E+00,1.13E+12,2.12E+12,1.27E-06,2.88E+06,2.72E+03
Bacteroides_fragilis_54507,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_fragilis_54507,,two_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_fragilis_54507,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_fragilis_54507,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_fragilis_54507,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_massiliensis_44749,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_massiliensis_44749,,two_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_massiliensis_44749,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_massiliensis_44749,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_massiliensis_44749,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_ovatus_58035,-37.33736268,one_epoch,2285.618661,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_ovatus_58035,-37.3373612,two_epoch,2285.618741,5.51E-02,1.04E+13,5.71E+11,1.72E-06,3.57E+07,3.38E+04
Bacteroides_ovatus_58035,-37.33733809,exponential,2285.619985,6.91E-02,8.28E+12,5.71E+11,8.85E-06,1.46E+08,1.39E+05
Bacteroides_ovatus_58035,-37.33736258,bottledecay,2285.618667,1.69E-01,3.38E+12,5.71E+11,1.49E-06,1.01E+07,9.55E+03
Bacteroides_ovatus_58035,-37.33736243,three_epoch,2285.618675,5.89E-02,9.70E+12,5.71E+11,5.93E-07,1.15E+07,1.09E+04
Bacteroides_stercoris_56735,-209.5150782,one_epoch,9759.868899,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_stercoris_56735,-209.5150782,two_epoch,9759.868898,2.06E+00,1.18E+12,2.44E+12,1.55E-06,3.67E+06,3.47E+03
Bacteroides_stercoris_56735,-209.5150715,exponential,9759.868873,3.44E+00,7.08E+11,2.44E+12,1.85E-05,2.63E+07,2.48E+04
Bacteroides_stercoris_56735,-209.5150781,bottledecay,9759.868898,2.43E+00,1.01E+12,2.44E+12,1.96E-06,3.94E+06,3.73E+03
Bacteroides_stercoris_56735,-209.5150781,three_epoch,9759.868898,6.92E+00,3.53E+11,2.44E+12,1.88E-06,1.33E+06,1.25E+03
Bacteroides_thetaiotaomicron_56941,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_thetaiotaomicron_56941,,two_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_thetaiotaomicron_56941,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_thetaiotaomicron_56941,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_thetaiotaomicron_56941,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Bacteroides_uniformis_57318,-52.57235372,one_epoch,2178.761067,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_uniformis_57318,-52.57235371,two_epoch,2178.761067,2.62062177,2.08E+11,5.45E+11,1.80E-06,7.47E+05,7.06E+02
Bacteroides_uniformis_57318,-52.57235201,exponential,2178.761059,1.73044898,3.15E+11,5.45E+11,1.91E-05,1.20E+07,1.14E+04
Bacteroides_uniformis_57318,-52.57235371,bottledecay,2178.761067,1.72037145,3.17E+11,5.45E+11,1.98E-06,1.25E+06,1.18E+03
Bacteroides_uniformis_57318,-52.57235369,three_epoch,2178.761067,2.74139392,1.99E+11,5.45E+11,1.92209E-06,7.64E+05,7.23E+02
Bacteroides_vulgatus_57955,-37.69031335,one_epoch,2311.398632,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_vulgatus_57955,-37.69031322,two_epoch,2311.398663,5.20E-02,1.11E+13,5.78E+11,1.01E-06,2.23E+07,2.11E+04
Bacteroides_vulgatus_57955,-37.69029695,exponential,2311.402283,9.24E-02,6.25E+12,5.78E+11,1.98E-05,2.48E+08,2.35E+05
Bacteroides_vulgatus_57955,-37.69031322,bottledecay,2311.398662,6.09E-02,9.49E+12,5.78E+11,1.15E-06,2.18E+07,2.07E+04
Bacteroides_vulgatus_57955,-37.69031326,three_epoch,2311.398652,1.00E-01,5.78E+12,5.78E+11,1.08E-06,1.25E+07,1.18E+04
Bacteroides_xylanisolvens_57185,-50.26186616,one_epoch,2225.838485,N/A,N/A,N/A,N/A,N/A,N/A
Bacteroides_xylanisolvens_57185,-50.26186556,two_epoch,2225.838488,1.36E-01,4.09E+12,5.56E+11,8.31E-07,6.79E+06,6.43E+03
Bacteroides_xylanisolvens_57185,-38.18049627,exponential,28666857.93,6.46E-05,1.11E+20,7.17E+15,7.19E-03,1.60E+18,1.51E+15
Bacteroides_xylanisolvens_57185,-50.26186442,bottledecay,2225.838493,1.63E-01,3.41E+12,5.56E+11,1.72E-06,1.17E+07,1.11E+04
Bacteroides_xylanisolvens_57185,-50.26185562,three_epoch,2225.838532,7.80E-02,7.14E+12,5.56E+11,1.32E-06,1.89E+07,1.79E+04
Barnesiella_intestinihominis_62208,-153.9124182,one_epoch,10819.41439,N/A,N/A,N/A,N/A,N/A,N/A
Barnesiella_intestinihominis_62208,-153.9124049,two_epoch,10819.41442,6.07E-02,4.46E+13,2.70E+12,5.85E-07,5.22E+07,4.94E+04
Barnesiella_intestinihominis_62208,-77.75583682,exponential,11599.22005,0.00408893,7.09E+14,2.90E+12,3.58E-04,5.08E+11,4.80E+08
Barnesiella_intestinihominis_62208,-153.9124011,bottledecay,10819.41443,7.39E-02,3.66E+13,2.70E+12,8.13E-07,5.95E+07,5.63E+04
Barnesiella_intestinihominis_62208,-153.9124113,three_epoch,10819.4144,1.73E-01,1.56E+13,2.70E+12,7.33E-07,2.29E+07,2.16E+04
Coprococcus_sp_62244,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Coprococcus_sp_62244,,two_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Coprococcus_sp_62244,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Coprococcus_sp_62244,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Coprococcus_sp_62244,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Dialister_invisus_61905,-50.19302537,one_epoch,7159.929236,N/A,N/A,N/A,N/A,N/A,N/A
Dialister_invisus_61905,-50.19302537,two_epoch,7159.929235,3.45E+00,5.19E+11,1.79E+12,1.94E-06,2.02E+06,1.91E+03
Dialister_invisus_61905,-50.1930249,exponential,7159.929221,1.81E+00,9.90E+11,1.79E+12,1.46E-05,2.90E+07,2.74E+04
Dialister_invisus_61905,-50.19302537,bottledecay,7159.929235,3.56E+00,5.03E+11,1.79E+12,1.98E-06,1.99E+06,1.88E+03
Dialister_invisus_61905,-50.19302536,three_epoch,7159.929235,4.16E+00,4.31E+11,1.79E+12,1.88E-06,1.62E+06,1.53E+03
Eubacterium_eligens_61678,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Eubacterium_eligens_61678,,two_epoch,,3.46E+00,0.00E+00,0.00E+00,1.92E-06,0.00E+00,0.00E+00
Eubacterium_eligens_61678,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Eubacterium_eligens_61678,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Eubacterium_eligens_61678,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Eubacterium_rectale_56927,-151.7719578,one_epoch,10366.24295,N/A,N/A,N/A,N/A,N/A,N/A
Eubacterium_rectale_56927,-151.7719578,two_epoch,10366.24295,,#DIV/0!,2.59E+12,,#DIV/0!,#DIV/0!
Eubacterium_rectale_56927,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Eubacterium_rectale_56927,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Eubacterium_rectale_56927,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Faecalibacterium_prausnitzii_57453,-48.01534782,one_epoch,10448.54411,N/A,N/A,N/A,N/A,N/A,N/A
Faecalibacterium_prausnitzii_57453,-48.01534781,two_epoch,10448.54411,1.75E+00,1.50E+12,2.61E+12,1.78E-06,5.33E+06,5.04E+03
Faecalibacterium_prausnitzii_57453,-48.01534682,exponential,10448.54408,4.18E+00,6.25E+11,2.61E+12,1.85E-05,2.31E+07,2.19E+04
Faecalibacterium_prausnitzii_57453,-48.01534781,bottledecay,10448.54411,1.41E+00,1.86E+12,2.61E+12,1.92E-06,7.12E+06,6.73E+03
Faecalibacterium_prausnitzii_57453,-48.0153478,three_epoch,10448.54411,2.66E+00,9.82E+11,2.61E+12,1.41E-06,2.76E+06,2.62E+03
Odoribacter_splanchnicus_62174,-40.45925264,one_epoch,2919.867014,N/A,N/A,N/A,N/A,N/A,N/A
Odoribacter_splanchnicus_62174,-40.45925264,two_epoch,2919.867014,1.74E+00,4.19E+11,7.30E+11,1.88E-06,1.57E+06,1.49E+03
Odoribacter_splanchnicus_62174,-40.4592525,exponential,2919.867009,5.29E+00,1.38E+11,7.30E+11,1.78E-05,4.92E+06,4.66E+03
Odoribacter_splanchnicus_62174,-40.45925264,bottledecay,2919.867014,1.76E+00,4.16E+11,7.30E+11,1.96E-06,1.63E+06,1.54E+03
Odoribacter_splanchnicus_62174,-40.45925264,three_epoch,2919.867014,1.78E+00,4.09E+11,7.30E+11,1.08E-06,8.81E+05,8.33E+02
Oscillibacter_sp_60799,-97.2491983,one_epoch,4680.964158,N/A,N/A,N/A,N/A,N/A,N/A
Oscillibacter_sp_60799,-97.24919824,two_epoch,4680.964157,1.62E+00,7.23E+11,1.17E+12,1.94E-06,2.81E+06,2.66E+03
Oscillibacter_sp_60799,-97.2491943,exponential,4680.964148,3.68E+00,3.18E+11,1.17E+12,1.70E-05,1.08E+07,1.03E+04
Oscillibacter_sp_60799,-97.24919824,bottledecay,4680.964158,1.43E+00,8.20E+11,1.17E+12,1.94E-06,3.18E+06,3.01E+03
Oscillibacter_sp_60799,-97.24919817,three_epoch,4680.964157,1.83E+00,6.41E+11,1.17E+12,1.01E-06,1.29E+06,1.22E+03
Parabacteroides_distasonis_56985,-82.24362932,one_epoch,10370.6321,N/A,N/A,N/A,N/A,N/A,N/A
Parabacteroides_distasonis_56985,-82.24362758,two_epoch,10370.63211,1.16E-01,2.24E+13,2.59E+12,6.02E-07,2.69E+07,2.55E+04
Parabacteroides_distasonis_56985,-55.51914009,exponential,10790.46233,0.00412462,6.54E+14,2.70E+12,2.31E-04,3.02E+11,2.86E+08
Parabacteroides_distasonis_56985,-82.24361909,bottledecay,10370.63215,1.07E-01,2.43E+13,2.59E+12,1.33E-06,6.46E+07,6.11E+04
Parabacteroides_distasonis_56985,-82.2436133,three_epoch,10370.63218,5.90E-02,4.40E+13,2.59E+12,7.51E-07,6.60E+07,6.25E+04
Parabacteroides_merdae_56972,-75.85064982,one_epoch,6138.170322,N/A,N/A,N/A,N/A,N/A,N/A
Parabacteroides_merdae_56972,-75.85064686,two_epoch,6138.170334,7.90E-02,1.94E+13,1.53E+12,5.75E-07,2.24E+07,2.12E+04
