model, likelihood, singletons, doubletons, tripletons, 4_tons, 5_tons, 6_tons, 7_tons, 8_tons, 9_tons, 10_tons
empirical, 0, 2354.9754, 1125.8021, 809.8079, 689.0643, 622.4599, 562.9077, 521.9243, 498.4493, 483.0525, 240.2388
one_epoch, -50.2618661588, 2349.4953, 1243.8507, 881.0609, 704.8488, 604.1561, 542.1914, 503.4634, 480.5787, 469.8992, 469.8992
two_epoch, -39.7209369497, 1484.8795, 1101.9467, 869.7762, 724.0218, 630.0251, 568.6634, 529.1856, 505.5298, 494.4213, 494.4213
red, -37.4736, 2349.4953, 1243.8507, 881.0609, 704.8488, 604.1561, 542.1914, 503.4634, 480.5787, 469.8992, 469.8992
orange, -39.7197, 1484.7845, 1101.9069, 869.7666, 724.0247, 630.0326, 568.6724, 529.1949, 505.5390, 494.4305, 494.4305
violet, -49.8211, 2274.0149, 1242.0450, 881.3267, 705.1575, 604.4285, 542.4366, 503.6912, 480.7961, 470.1118, 470.1118
