site id, b'700015250c', b'700024086c', b'700032222c', b'700034254', b'700035861', b'700037539c', b'700038472', b'700107398c', b'700164611', b'700165455', b'700172461', b'700173023'
average pi, 0.006506570019569516, 0.00617236105358522, 0.008703349289885927, 0.007111502996185474, 0.010033190531619801, 0.007543471150228675, 0.010911281533216967, 0.005895346522129044, 0.012216308241128045, 0.0089743196861341, 0.00565265048042015, 0.00802437656218685
num_sites, 42004, 55427, 17477, 18456, 25487, 40237, 29359, 47613, 35710, 21017, 40363, 32637
aggregate_across_pi, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318, 0.02334872394804318
distributed_across_pi, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034, 0.024449958810099034
