site id, b'700021261', b'700032222c', b'700107398c', b'700116778c'
average pi, 0.0009762299427467855, 0.004956162067323581, 0.005435116062240012, 0.005708481517954965
num_sites, 821705, 117119, 139308, 108127
aggregate_across_pi, 0.009679476066697562, 0.009679476066697562, 0.009679476066697562, 0.009679476066697562
distributed_across_pi, 0.00996369112845033, 0.00996369112845033, 0.00996369112845033, 0.00996369112845033
