site id, b'700014498', b'700023720c', b'700037539c', b'700098267', b'700117828c', b'700161945', b'700164611', b'700164735', b'700164891', b'700165263c', b'700173023'
average pi, 0.0025407621862955972, 0.005557545016215775, 0.0035058895290231984, 0.0008368384087152525, 0.001466823104475531, 0.0007212157283258004, 0.0010665825650423963, 0.0034589762844496295, 0.001089906985973016, 0.0016961629213703107, 0.0006316591809977833
num_sites, 4709, 6239, 41033, 148542, 136345, 358278, 24280, 2858, 19236, 1336780, 183352
aggregate_across_pi, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185, 0.012042343494617185
distributed_across_pi, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902, 0.013860647029502902
