site id, b'700013715', b'700014498', b'700016456', b'700016716c', b'700021306c', b'700023113', b'700023578', b'700023634c', b'700023720c', b'700023788', b'700024086c', b'700024233', b'700024437', b'700032222c', b'700037539c', b'700038414', b'700038472', b'700038594c', b'700038870c', b'700095647', b'700096380', b'700097837c', b'700098267', b'700100600', b'700101581', b'700106065', b'700106170', b'700106198', b'700107398c', b'700109987', b'700111296c', b'700114125', b'700117755', b'700119042c', b'700161945', b'700165634', b'700165809', b'700171115c', b'700171648', b'700172221', b'700172461', b'700172498c', b'700173023', b'700175181'
average pi, 0.010401950454776907, 0.004967474352158785, 0.007629070259526248, 0.007896543775422486, 0.0055061581557952575, 0.005914488929702886, 0.0055000213344928986, 0.005793781000014693, 0.007150321104784426, 0.007490975650019632, 0.006695279964445262, 0.00518479619426497, 0.0058011708675067405, 0.006820214836192935, 0.006088199015236165, 0.007267605770266681, 0.008015260173751634, 0.004888138613342917, 0.007262828140180831, 0.0074975574832598195, 0.008496159569575976, 0.00853704933480862, 0.0035756850624800215, 0.010571717473835535, 0.00734019270378078, 0.006258425707701237, 0.007590839440470006, 0.007027746940725764, 0.005690691953137482, 0.009249236977975065, 0.0048609463221086805, 0.005207666933245586, 0.005696032228728703, 0.0054750390510870635, 0.007648915639106713, 0.005829938026298485, 0.005111628735249528, 0.005190795422194024, 0.007079821733491531, 0.0011796488911666706, 0.002989835587280491, 0.0079874301687067, 0.005354103781086911, 0.006326697978200436
num_sites, 67017, 96284, 61299, 128608, 72235, 189326, 149821, 54693, 242388, 45065, 95247, 47914, 111317, 45245, 148574, 116569, 71884, 217387, 50366, 42505, 63551, 61265, 127534, 121118, 65832, 109268, 143592, 96926, 52924, 51046, 1772589, 49070, 139895, 49375, 36789, 119868, 135791, 150926, 59525, 1359766, 987382, 76338, 179427, 426445
aggregate_across_pi, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808, 0.016279738702103808
distributed_across_pi, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646, 0.020353894723369646
