site id, b'700013693', b'700015250c', b'700023720c', b'700024086c', b'700037539c', b'700037868c', b'700106065', b'700106876c', b'700117625', b'700117755', b'700120753', b'700163181'
average pi, 0.009809438227973807, 0.010326918096480385, 0.008540296157267287, 0.007506296625067725, 0.009165602102004261, 0.010289604573241358, 0.00866564616572329, 0.011702732835157305, 0.004560187217972516, 0.009330049935622533, 0.01194728998964269, 0.014056249824341529
num_sites, 24142, 47015, 112921, 144426, 302996, 25912, 44420, 55666, 179782, 94268, 28658, 36956
aggregate_across_pi, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338, 0.026488158416579338
distributed_across_pi, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634, 0.028239059652013634
