site id, b'SRR7658629', b'SRR7658649', b'SRR7658679', b'SRR7658689', b'SRR8784368', b'SRR8180447', b'SRR7658631', b'SRR7658621', b'SRR8180448', b'SRR7658633', b'SRR7658581', b'SRR8784381', b'SRR7658638', b'SRR7658637', b'SRR7658625', b'SRR7658596', b'SRR7658597', b'SRR7658628'
average pi, 0.00033841960166815916, 0.0005903987596930873, 0.00040844924203346675, 0.00039534292136852447, 0.0008979747516087484, 0.00042974060387932834, 0.0003219738579724527, 0.0005380142433755809, 0.002275292371448984, 0.0007798144089016904, 0.0027057228763521864, 0.001219355811859221, 0.0003616766476992082, 0.0003169559451700201, 0.0003668150743353413, 0.0035827527789746524, 0.00032226462987149806, 0.00034300980860608825
num_sites, 1879773, 97816, 258353, 367446, 1577422, 938037, 1877901, 119149, 1198044, 57636, 383521, 80769, 970656, 705814, 1871427, 34443, 1472904, 1486003
aggregate_across_pi, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552, 0.014529248902471552
distributed_across_pi, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468, 0.014273975805146468
