site id, 700014386, 700014498, 700015181c, 700021306c, 700023578, 700023634c, 700023872c, 700024086c, 700024233, 700024437, 700024752, 700032222c, 700033153c, 700034565, 700035747, 700035785, 700035861, 700037453c, 700037539c, 700037632, 700038414, 700038472, 700038870c, 700095353, 700095486, 700098267, 700103652c, 700105049, 700105771, 700105882, 700106056, 700106198, 700106836c, 700109564c, 700109987, 700111296c, 700113114, 700113975, 700114082, 700116201, 700117828c, 700119042c, 700163181, 700163772, 700163981, 700164159c, 700164735, 700165148, 700165311, 700165407, 700165634, 700165778, 700165809, 700171066, 700171114, 700172221, 700172498c, 700172813, 700173023, 700173483
average pi, 0.004554015723778305, 0.00530898226305894, 0.00752170045610289, 0.008390770503127639, 0.01034145432372724, 0.007783273746725596, 0.0027895486484242663, 0.006438180534256818, 0.005127883415631176, 0.012152599298280952, 0.008716476171677989, 0.006537318326281012, 0.003902941369873112, 0.005791246348289983, 0.010911351434016673, 0.007988665712633208, 0.007758482675270426, 0.009379496105751494, 0.0052184302929068095, 0.008782728279716464, 0.005163970561836899, 0.008319616954599518, 0.008968039012918455, 0.005632297604362496, 0.009114072012720036, 0.00851744762150594, 0.008304189431519322, 0.009539496510688729, 0.006232374532943555, 0.010769101857151058, 0.007213916565590097, 0.008516626934021948, 0.004520468807220424, 0.008977629288543176, 0.010296829621671558, 0.010705362835844731, 0.01094494093317071, 0.00752803146009659, 0.008593978502628588, 0.010435957934696514, 0.005373694837348598, 0.005793929826645244, 0.0048320693069759686, 0.0089349429169934, 0.006270471991990404, 0.008228583929549112, 0.010265222610754188, 0.005076728087544684, 0.005431648656578246, 0.011195757047842578, 0.009521004472476625, 0.008982249501291053, 0.008647085780465032, 0.004007133090102886, 0.008243195244579692, 0.0055173503666199695, 0.007927474726542887, 0.0063470374613309975, 0.004640794536986682, 0.00643494785191649
num_sites, 75454, 107132, 47136, 118844, 101046, 95647, 1798312, 1594385, 750488, 100761, 380921, 88495, 364618, 34283, 63673, 66318, 65065, 75729, 1708216, 102140, 343411, 232586, 103024, 51626, 45321, 85935, 42088, 113901, 133918, 38517, 39077, 83061, 42363, 98241, 37946, 103323, 60803, 48733, 95748, 124248, 61656, 22279, 139333, 75391, 54923, 102494, 83712, 101141, 106105, 94648, 114739, 108878, 116225, 83409, 157636, 190521, 126679, 53155, 230245, 97338
