site id, b'700013588', b'700014498', b'700015250c', b'700023634c', b'700023872c', b'700024086c', b'700032222c', b'700037539c', b'700038472', b'700100312', b'700106836c', b'700106876c', b'700110812', b'700116730', b'700116778c', b'700164735', b'700165263c', b'700172813'
average pi, 0.010821501555653498, 0.0014615301107749777, 0.006242167841619523, 0.0037128699787413754, 0.004588886288869814, 0.0062170295490040686, 0.0060740458217247205, 0.0075205556464991085, 0.0029084360139184835, 0.005805173849332552, 0.005677400203045913, 0.0036562236399656158, 0.004573045931902449, 0.009165173931333584, 0.0020154449180160164, 0.009158249917184582, 0.006084136737457602, 0.005042246307504158
num_sites, 35641, 235735, 37157, 64667, 134614, 65455, 56125, 79124, 916919, 35886, 21815, 516340, 77489, 27073, 761582, 29229, 163690, 53952
aggregate_across_pi, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226, 0.016609322288731226
distributed_across_pi, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214, 0.019960915979811214
