site id, b'700015250c', b'700023872c', b'700024086c', b'700033153c', b'700034254', b'700037539c', b'700037868c', b'700102242c', b'700106465', b'700114125', b'700171115c', b'700172461'
average pi, 0.007158787258636957, 0.01012606039494381, 0.007527394833125757, 0.014144950048508576, 0.0075542845448674095, 0.00789981254392878, 0.007285351530383071, 0.011308914305854529, 0.0016079003754323738, 0.010737482882159402, 0.008195138642507194, 0.010299912173443664
num_sites, 75179, 62736, 75486, 33206, 35466, 107872, 469363, 37584, 805817, 24425, 96965, 100952
aggregate_across_pi, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747, 0.014560543317372747
distributed_across_pi, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014, 0.024557244622303014
