site id, SRR7658619, SRR7658639, SRR8784388, SRR7658690, SRR8784380, SRR7658608, SRR7658666, SRR7658638, SRR7658584, SRR7658585, SRR7658586, SRR8784387
average pi, 0.002777004727197108, 0.002987965312715849, 0.008603472226853282, 0.006407999458330946, 0.009233215797510803, 0.0015973335143911187, 0.0009982289360755407, 0.008881056863460775, 0.011529617378232198, 0.0045869299375402165, 0.00947702672475569, 0.003152159940833816
num_sites, 121492, 350600, 33206, 175353, 27314, 695871, 765760, 5312, 13744, 26729, 97810, 36723
