site id, 700013600, 700021824, 700023578, 700023634c, 700024449c, 700024615, 700024998, 700034254, 700034565, 700035533, 700037042c, 700037916, 700038158, 700038493, 700038702, 700095486, 700095647, 700098267, 700102432, 700102586c, 700103477c, 700103652c, 700105613, 700105991, 700106229c, 700108095c, 700113867, 700116358c, 700116568c, 700116668, 700117031, 700117828c, 700119739, 700123562, 700161219, 700161742, 700164159c, 700164792, 700165167, 700171066, 700171648, 700171859, 700172498c, 700172726c
average pi, 0.000878965305597, 0.000994044207311, 0.00129994165353, 0.0027408889121, 0.00264662542122, 0.00106086467135, 0.00236310095874, 0.00103219275946, 0.000290355223744, 0.00426562422712, 0.00501099683906, 0.00696129758963, 0.00222576762414, 0.00512252257944, 0.0137788375405, 0.0039818907749, 0.00220648112955, 0.00064580411675, 0.000862901802276, 0.00108791086442, 0.00338230678154, 0.00155485891085, 0.00336452925279, 0.00378787486906, 0.00431000507273, 0.00361680535704, 0.00600011375349, 0.00406584355313, 0.00680744952957, 0.00298865973111, 0.00374168137589, 0.00158456303629, 0.00376131996016, 0.00241288997167, 0.00173275575421, 0.000668480448415, 0.00138984035358, 0.00321921557175, 0.00450879860291, 0.000417170860761, 0.00283999085493, 0.00358590610872, 0.00207031655923, 0.00228662436871
num_sites, 1265, 55257, 10839, 1965, 1747645, 205234, 10376, 36766, 3078, 18867, 6927, 2517, 62988, 19196, 2572, 5881, 60024, 211604, 573665, 2220766, 9009, 360284, 726698, 12073, 29195, 58634, 7227, 3172, 2282, 1225358, 1568, 2414378, 1042, 2417747, 9158, 814533, 2292599, 231683, 29717, 961183, 9228, 531, 45067, 54256
aggregate_across_pi, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031, 0.016228405031
distributed_across_pi, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092, 0.0154656203092
