,X,Y,Z
0,0.0283892992,0.0073343856,-2167.75190234501
1,0.0283892992,0.022003156799999996,-2936.800671658625
2,0.0283892992,0.03667192799999999,-2820.4861124991426
3,0.0283892992,0.051340699199999985,-2559.232710989858
4,0.0283892992,0.06600947039999999,-2223.379986650032
5,0.0283892992,0.08067824159999998,-1846.402319992498
6,0.0283892992,0.09534701279999996,-1476.5532228629656
7,0.0283892992,0.11001578399999998,-1159.7503433255094
8,0.0283892992,0.12468455519999996,-919.2912880906408
9,0.0283892992,0.13935332639999995,-753.1251602118925
10,0.0283892992,0.15402209759999996,-645.3679645550101
11,0.0283892992,0.16869086879999995,-578.1056489204752
12,0.0283892992,0.18335963999999993,-536.9925302149593
13,0.0283892992,0.19802841119999995,-512.137436368864
14,0.0283892992,0.21269718239999993,-497.1963956657635
15,0.0283892992,0.22736595359999995,-488.2417129429025
16,0.0283892992,0.24203472479999993,-482.88352873466465
17,0.0283892992,0.2567034959999999,-479.6802350044022
18,0.0283892992,0.2713722671999999,-477.7661765455273
19,0.0283892992,0.28604103839999995,-476.6228085346886
20,0.0283892992,0.30070980959999993,-475.93993041012914
21,0.0283892992,0.3153785807999999,-475.53212241918095
22,0.0283892992,0.3300473519999999,-475.2885989232266
23,0.0283892992,0.3447161231999999,-475.1431834338114
24,0.0283892992,0.3593848943999999,-475.05635311007313
25,0.0283892992,0.3740536655999999,-475.0045057246814
26,0.0283892992,0.3887224367999999,-474.97354716972404
27,0.0283892992,0.4033912079999999,-474.9550616937354
28,0.0283892992,0.4180599791999999,-474.9440239812934
29,0.0283892992,0.43272875039999986,-474.93743334999226
30,0.0283892992,0.4473975215999999,-474.9334980779579
31,0.0283892992,0.4620662927999999,-474.9311483224519
32,0.0283892992,0.4767350639999999,-474.9297452765429
33,0.0283892992,0.49140383519999986,-474.9289075183708
34,0.0283892992,0.5060726063999998,-474.9284072937701
35,0.0283892992,0.5207413775999998,-474.928108609545
36,0.0283892992,0.5354101487999998,-474.9279302645616
37,0.0283892992,0.5500789199999998,-474.92782377507933
38,0.0283892992,0.5647476911999999,-474.9277601898673
39,0.0283892992,0.5794164623999999,-474.9277222229132
40,0.0283892992,0.5940852335999999,-474.9276995533987
41,0.0283892992,0.6087540047999999,-474.9276860170148
42,0.0283892992,0.6234227759999998,-474.92767793514054
43,0.0283892992,0.6380915471999998,-474.9276731085697
44,0.0283892992,0.6527603183999998,-474.9276702268935
45,0.0283892992,0.6674290895999998,-474.92766850635667
46,0.0283892992,0.6820978607999998,-474.9276674789537
47,0.0283892992,0.6967666319999998,-474.9276668654179
48,0.0283892992,0.7114354031999998,-474.927666499284
49,0.0283892992,0.7261041743999999,-474.92766628043523
50,0.0283892992,0.7407729455999998,-474.92766614978495
51,0.0283892992,0.7554417167999998,-474.9276660719297
52,0.0283892992,0.7701104879999998,-474.92766602522556
53,0.0283892992,0.7847792591999998,-474.92766599805327
54,0.0283892992,0.7994480303999998,-474.9276659808197
55,0.0283892992,0.8141168015999998,-474.92766597086734
56,0.0283892992,0.8287855727999998,-474.92766596491515
57,0.0283892992,0.8434543439999997,-474.9276659611555
58,0.0283892992,0.8581231151999997,-474.92766595943476
59,0.0283892992,0.8727918863999998,-474.9276659587533
60,0.0283892992,0.8874606575999998,-474.9276659575203
61,0.0283892992,0.9021294287999998,-474.9276659570869
62,0.0283892992,0.9167981999999998,-474.9276659567979
63,0.0283892992,0.9314669711999998,-474.92766595676494
64,0.0283892992,0.9461357423999998,-474.9276659565205
65,0.0283892992,0.9608045135999997,-474.92766595705666
66,0.0283892992,0.9754732847999997,-474.9276659574173
67,0.0283892992,0.9901420559999997,-474.92766595737544
68,0.0283892992,1.0048108271999998,-474.9276659575819
69,0.0283892992,1.0194795983999998,-474.92766595748867
70,0.0283892992,1.0341483695999998,-474.9276659577697
71,0.0283892992,1.0488171407999998,-474.9276659574973
72,0.0283892992,1.0634859119999998,-474.92766595746616
73,0.0283892992,1.0781546831999997,-474.92766595737135
74,0.0283892992,1.0928234543999997,-474.9276659577406
75,0.0283892992,1.1074922256,-474.9276659576328
76,0.0283892992,1.1221609968,-474.92766595711123
77,0.0283892992,1.136829768,-474.92766595745275
78,0.0283892992,1.1514985392,-474.9276659575146
79,0.0283892992,1.1661673103999999,-474.92766595736134
80,0.0283892992,1.1808360815999999,-474.92766595767193
81,0.0283892992,1.1955048527999999,-474.92766595755506
82,0.0283892992,1.2101736239999998,-474.9276659575262
