site id, b'700021824', b'700033665', b'700038158', b'700101366', b'700111296c', b'700163628', b'700164192'
average pi, 0.002170166407622391, 0.0031484183739075833, 0.0023706971932818594, 0.0028508322383392058, 0.0029815127425611584, 0.002269904921046839, 0.005144766158512024
num_sites, 63005, 13360, 508752, 12410, 389051, 9332, 32208
aggregate_across_pi, 0.022071362521661714, 0.022071362521661714, 0.022071362521661714, 0.022071362521661714, 0.022071362521661714, 0.022071362521661714, 0.022071362521661714
distributed_across_pi, 0.02189869758195286, 0.02189869758195286, 0.02189869758195286, 0.02189869758195286, 0.02189869758195286, 0.02189869758195286, 0.02189869758195286
