site id, b'SRR7658579', b'SRR7658681', b'SRR7658685', b'SRR7658603', b'SRR7658624', b'SRR7658666', b'SRR7658645'
average pi, 0.005794397665192434, 0.004772224929635722, 0.0005454828894976895, 0.00033025719618144363, 0.0027164443367913584, 0.005039456708377417, 0.000534969881245768
num_sites, 1400707, 2934, 150276, 1222543, 8792, 280134, 1340140
aggregate_across_pi, 0.025389217598676975, 0.025389217598676975, 0.025389217598676975, 0.025389217598676975, 0.025389217598676975, 0.025389217598676975, 0.025389217598676975
distributed_across_pi, 0.024914851506326975, 0.024914851506326975, 0.024914851506326975, 0.024914851506326975, 0.024914851506326975, 0.024914851506326975, 0.024914851506326975
