site id, SRR8784378, SRR7658621, SRR8180448, SRR8784381, SRR7658598, SRR8784376, SRR7658584, SRR8784366
average pi, 0.0104083686412, 0.00229944507475, 0.0049568487411, 0.0113341872703, 0.00735287685494, 0.0117068665588, 0.00618435318733, 0.000688661370997
num_sites, 51801, 11610, 233041, 19067, 14344, 35779, 84776, 1033421
across_species_pi, 0.000311473304226, 0.000311473304226, 0.000311473304226, 0.000311473304226, 0.000311473304226, 0.000311473304226, 0.000311473304226, 0.000311473304226
