site id, b'700013600', b'700016610c', b'700016716c', b'700023578', b'700023634c', b'700023872c', b'700023919c', b'700024086c', b'700024233', b'700024318', b'700024437', b'700024545c', b'700032944', b'700037123c', b'700037453c', b'700037539c', b'700037632', b'700097688', b'700100600', b'700105372', b'700106836c', b'700116201', b'700117992', b'700161629', b'700163772', b'700164339', b'700164686', b'700165052', b'700165148', b'700165634', b'700171573', b'700172461', b'700172498c', b'700175181'
average pi, 0.003987717056065434, 0.015531487176471133, 0.0070180690211913855, 0.007311501415279565, 0.009265210840204713, 0.002138401335248584, 0.004274864180232303, 0.005038544480274817, 0.0014788747913969517, 0.0011408614918200486, 0.010278770609382629, 0.0019069096737860144, 0.0019056929281231045, 0.010350662516563192, 0.008115428130376736, 0.0020236825985100494, 0.009271741724778152, 0.01024844000980872, 0.00634419193845803, 0.0009763457194537844, 0.004712768305481188, 0.004017477913353905, 0.010053103509807435, 0.014767479027687627, 0.0036371316243244732, 0.00128920313297158, 0.008136005497152512, 0.005743459392023902, 0.005694262761623219, 0.007517105869435514, 0.0008906093624369136, 0.005736900178887393, 0.008049997995423955, 0.007936418253746741
num_sites, 13341, 13816, 19017, 41158, 28246, 629257, 79091, 73160, 2047113, 1688856, 19774, 254005, 23802, 18611, 21696, 613842, 21349, 64242, 43883, 1344176, 43374, 33184, 73125, 52675, 41823, 1320034, 82059, 45317, 61975, 43188, 2063747, 101494, 125649, 20256
aggregate_across_pi, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808, 0.014105697665821808
distributed_across_pi, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675, 0.019294601365180675
